depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
1208.5,3338,7.95,3431.452,-2.082,1511,-25.11,4.72,3416.409,0.317,206,1.952,8550,0.038,3371.409,-2.017
1214.5,3376,6.39,3451.466,-2.429,1518,-25.74,7.5,3436.423,0.309,207,1.933,8600,0.042,3391.423,-1.587
1218.5,3411,8.93,3471.48,-2.955,1529,-26.04,4.99,3456.438,0.335,208,1.956,8650,0.044,3411.438,-1.955
1220.5,3432,5.09,3491.494,-2.93,1537,-26.15,6.91,3476.452,0.284,210,1.964,8700,0.048,3431.452,-2.082
1222.5,3453,6.44,3511.508,-2.493,1548,-25.99,5.92,3496.466,0.197,211,2.029,8750,0.048,3451.466,-2.429
1232.5,3517,6.76,3531.522,-2.123,1556,-26.06,8.22,3516.48,0.137,212,1.969,8800,0.05,3471.48,-2.955
1236.5,3553,6.26,3551.536,-2.75,1574,-25.98,7.38,3536.494,0.212,214,1.975,8850,0.048,3491.494,-2.93
1238.5,3566,8.48,3571.55,-2.943,1586,-25.48,6.99,3556.508,0.271,215,2.023,8900,0.05,3511.508,-2.493
1240.5,3580,6.55,3591.564,-1.308,1593,-26.57,7.68,3576.522,0.302,216,2.092,8950,0.048,3531.522,-2.123
1243,3601,8.15,3611.578,-0.559,1604,-25.73,6.79,3596.536,0.407,218,2.089,9000,0.048,3551.536,-2.75
1244.5,3612,12.24,3631.593,-0.939,1612,-26.15,9.25,3616.55,0.467,219,2.058,9050,0.05,3571.55,-2.943
1248.5,3640,5.14,3651.607,-2.955,1623,-25.51,8.15,3636.564,0.397,221,2.003,9100,0.048,3591.564,-1.308
1252.75,3657,6.48,3671.621,-2.387,1631,-26.95,6.07,3656.578,0.341,222,1.942,9150,0.05,3611.578,-0.559
1254.5,3665,6.58,3691.635,-2.036,1642,-25.67,7.7,3676.593,0.31,224,1.958,9200,0.048,3631.593,-0.939
1256.5,3674,5.93,3711.649,-1.611,1650,-25.62,6.27,3696.607,0.315,225,1.999,9250,0.05,3651.607,-2.955
1260.5,3691,6.57,3731.663,-1.186,1661,-25.63,8.09,3716.621,0.261,227,2.023,9300,0.048,3671.621,-2.387
1262.5,3700,7.23,3751.677,-2.153,1669,-25.55,7.27,3736.635,0.283,228,2.084,9350,0.05,3691.635,-2.036
1264.5,3711,7.28,3771.691,-1.656,1695,-25.91,5.92,3756.649,0.358,230,2.069,9400,0.048,3711.649,-1.611
1266.5,3724,7.87,3791.705,-2.235,1706,-25.08,7.12,3776.663,0.342,231,2.056,9450,0.05,3731.663,-1.186
1268.5,3737,5.96,3811.719,-1.794,1718,-26.36,4.04,3796.677,0.351,233,2.011,9500,0.048,3751.677,-2.153
1272.5,3762,7.39,3831.733,-2.662,1729,-24.91,5.62,3816.691,0.283,234,2.01,9550,0.05,3771.691,-1.656
1274.5,3775,5.84,3851.748,-1.588,1740,-25.03,6.24,3836.705,0.297,236,1.956,9600,0.048,3791.705,-2.235
1278.75,3799,9.05,3871.762,-1.084,1751,-25.27,7.11,3856.719,0.371,238,1.885,9650,0.05,3811.719,-1.794
1280.5,3812,6.07,3891.776,-1.625,1763,-26.03,8.47,3876.733,0.464,239,1.796,9700,0.048,3831.733,-2.662
1282.5,3827,7.11,3911.79,-2.379,1774,-25.2,7.91,3896.748,0.38,241,1.852,9750,0.048,3851.748,-1.588
1286.5,3857,7.3,3931.804,-1.537,1779,-25.67,6.19,3916.762,0.329,243,1.862,9800,0.05,3871.762,-1.084
1288.5,3872,7.47,3951.818,-2.11,1788,-25.99,6.92,3936.776,0.301,244,1.962,9850,0.048,3891.776,-1.625
1292.5,3902,5.93,3971.832,-2.698,1798,-25.86,5.82,3956.79,0.394,246,1.906,9900,0.05,3911.79,-2.379
1294.5,3916,5.99,3991.846,-2.557,1808,-26.23,6.75,3976.804,0.32,248,1.97,9950,0.048,3931.804,-1.537
