d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [2-1]
-5.788,1977.33,-1.9015,-5.32,1977.33,-2.1442
-5.6711,1977.25,-2.1546,-5.2675,1977.25,-1.9504
-5.5377,1977.17,-2.1316,-5.2499,1977.17,-2.1598
-5.5552,1977.08,-2.2941,-5.4399,1977.08,-2.2047
-5.5704,1977,-2.0021,-5.4127,1977,-1.8981
-5.8339,1976.92,-2.2601,-5.4739,1976.92,-1.5227
-5.7853,1976.83,-2.3322,-5.5449,1976.83,-1.5599
-5.7664,1976.75,-2.0836,-5.4771,1976.75,-1.8199
-5.7303,1976.67,-2.0525,-5.4127,1976.67,-1.7823
-5.7789,1976.58,-2.26,-5.4671,1976.58,-2.0793
-5.6834,1976.5,-2.1682,-5.557,1976.5,-1.9333
-5.7834,1976.42,-1.9896,-5.4883,1976.42,-1.9003
-5.7314,1976.33,-1.8066,-5.3886,1976.33,-1.9406
-5.582,1976.25,-2.0065,-5.4069,1976.25,-1.6976
-5.5521,1976.17,-1.8903,-5.3587,1976.17,-1.8401
-5.7532,1976.08,-2.0361,-5.4508,1976.08,-1.9541
-5.6322,1976,-2.0394,-5.4459,1976,-1.8562
-5.9415,1975.92,-2.2456,-5.5673,1975.92,-1.8081
-5.9546,1975.83,-1.9776,-5.5136,1975.83,-1.9435
-5.977,1975.75,-2.1235,-5.5624,1975.75,-1.8284
-6.0013,1975.67,-1.8726,-5.7154,1975.67,-1.8722
-6.0129,1975.58,-2.0796,-5.6603,1975.58,-2.1496
-5.8551,1975.5,-1.6419,-5.7403,1975.5,-2.3746
-5.8756,1975.42,-2.3216,-5.6597,1975.42,-2.2133
-5.8576,1975.33,-2.0862,-5.5198,1975.33,-2.0677
-5.6784,1975.25,-2.4543,-5.4714,1975.25,-2.0809
-5.6392,1975.17,-2.014,-5.3722,1975.17,-2.1662
-5.6183,1975.08,-1.8649,-5.4675,1975.08,-2.4193
-5.7617,1975,-2.3273,-5.7079,1975,-2.5089
-5.9654,1974.92,-2.3001,-5.7555,1974.92,-2.3293
-6.1197,1974.83,-2.1678,-5.7419,1974.83,-2.3107
-5.9622,1974.75,-2.3248,-5.7269,1974.75,-1.4108
-6.043,1974.67,-2.0009,-5.7325,1974.67,-1.8596
-5.9991,1974.58,-1.698,-5.6962,1974.58,-1.9417
-5.968,1974.5,-2.0477,-5.7735,1974.5,-2.0781
-5.8838,1974.42,-2.1773,-5.6342,1974.42,-1.9033
-5.6586,1974.33,-1.8285,-5.5309,1974.33,-1.8542
