dD (permil),year (AD)
-154.5,659
-158.7,658
-155,657
-151.3,656
-141.7,655
-165.8,654
-162.2,653
-142.2,652
-148,651
-154.25,650
-160.5,649
-158,648
-139,647
-153.3,646
-131.4,645
-157.8,644
-155.95,643
-154.1,642
-149.8,641
-160.3,640
-148.4,639
-148.2,638
-146.4,637
-144.6,636
-146.5,635
-154.7,634
-150.5,633
-144.5,632
-158.45,631
-172.4,630
-167.5,629
-157.5,628
-162.8,627
-160.1,626
-153.25,625
-146.4,624
-145.5,623
-160.3,622
-146.4,621
-151.45,620
-156.5,619
-146.5,618
-153,617
-162.2,616
-140.8,615
-144.8,614
-148.8,613
-148.5,612
-144.9,611
-151.7,610
-156.4,609
-161.1,608
-155.1,607
-143.9,606
-147.4,605
-157.1,604
-148.9,603
-146.4,602
-143.9,601
-141,600
-151.9,599
-147.7,598
-145.75,597
-143.8,596
-158.9,595
-144.7,594
-152.6,593
-151.35,592
-150.1,591
-148.85,590
-147.6,589
-145.7,588
-138.7,587
-155.8,586
-150.35,585
-144.9,584
-152.8,583
-145.5,582
-154.9,581
-150.85,580
-146.8,579
-150.7,578
-151.8,577
-148.9,576
-146,575
-149.9,574
-171.8,573
-163.1,572
-154.4,571
-152,570
-155.8,569
-150,568
-153.7,567
-157.4,566
-157.9,565
-148.6,564
-149.3,563
-150,562
-153.6,561
-152.5,560
-149.4,559
-146.3,558
-155.4,557
-150.5,556
-151.75,555
-153,554
-146.4,553
-147.1,552
-147.8,551
-148.5,550
-137.9,549
-162.1,548
-157.4,547
-152.7,546
-152.1,545
-145.8,544
-148.35,543
-150.9,542
-149.9,541
-149.85,540
-149.8,539
-142.5,538
-150,537
-152.25,536
-154.5,535
-153.2,534
-131.8,533
-140.1,532
-148.4,531
-155,530
-150.4,529
-152.25,528
-154.1,527
-141.5,526
-149.55,525
-157.6,524
-149.8,523
-146.2,522
-141.6,521
-137,520
-143.1,519
-147,518
-150.9,517
-148.4,516
-139.7,515
-144.1,514
-148.5,513
-146.2,512
-146.9,511
-147.6,510
-141.9,509
-152.6,508
-154.05,507
-155.5,506
-157.9,505
-159.2,504
-160.5,503
-137.9,502
-136.85,501
-135.8,500
-142.1,499
-137.9,498
-140.7,497
-143.5,496
-150.3,495
-151.6,494
-152.9,493
-155.9,492
-148.7,491
-141.5,490
-151.4,489
-140.9,488
-142.25,487
-143.6,486
-154.1,485
-155.85,484
-157.6,483
-141.4,482
-139,481
-136.6,480
-141.7,479
-144.2,478
-146.7,477
-145,476
-141.15,475
-137.3,474
-155.5,473
-148.35,472
-141.2,471
-135.7,470
-140.75,469
-145.8,468
-152.9,467
-151.4,466
-149.9,465
-144.6,464
-141.05,463
-137.5,462
-137.3,461
-146.65,460
-156,459
-149.5,458
-148.35,457
-147.2,456
-128.6,455
-142.1,454
-155.6,453
-150.7,452
-155,451
-159.3,450
-161,449
-160.75,448
-160.5,447
-153,446
-148.6,445
-144.2,444
-144.6,443
-145.45,442
-146.3,441
-144.5,440
-150.4,439
-156.3,438
-140.3,437
-142.75,436
-145.2,435
-144.9,434
-144.6,433
-147.9,432
-151.1,431
-154.3,430
-156.1,429
-156,428
-155.9,427
-150.3,426
-159.4,425
-168.5,424
-154.1,423
-150.05,422
-146,421
-149.4,420
-152.8,419
-155.2,418
-150.15,417
-145.1,416
-150.3,415
-149.8,414
-149.3,413
-146.35,412
-143.4,411
-149,410
-146.85,409
-144.7,408
-150.7,407
-153.8,406
-156.9,405
-154.15,404
-151.4,403
-139.3,402
-147.95,401
-156.6,400
-145.9,399
-144.6,398
-143.3,397
-141.5,396
-139.7,395
-143.5,394
-146.2,393
-148.9,392
-144.3,391
-139.7,390
-136.7,389
-140.5,388
-144.3,387
-138.6,386
-143.85,385
-149.1,384
-149.2,383
-149.3,382
-155.2,381
-152.45,380
-149.7,379
-151.35,378
-153,377
-140,376
-141.75,375
-143.5,374
-147.6,373
-151.7,372
-159.1,371
-151.35,370
-143.6,369
-145.3,368
-147,367
-146.6,366
-152,365
-157.4,364
-152.9,363
-148.4,362
-140.4,361
-141.15,360
-141.9,359
-144.85,358
-147.8,357
-147.4,356
-147,355
-146.1,354
-144.6,353
-143.1,352
-147,351
-150.9,350
-148.6,349
-150,348
-151.4,347
-154.9,346
-158.4,345
-162.6,344
-166.8,343
-153.3,342
-152.45,341
-151.6,340
-150.55,339
-149.5,338
-148.5,337
-147.5,336
-158.9,335
-158.2,334
-157.5,333
-151.15,332
-144.8,331
-148.35,330
-151.9,329
-151.7,328
-151.5,327
-155.1,326
-155.4,325
-155.7,324
-156.75,323
-157.8,322
-157.05,321
-156.3,320
-152.35,319
-148.4,318
-148.9,317
-149.4,316
-152.65,315
-155.9,314
-161.8,313
-154.2,312
-146.6,311
-149.55,310
-152.5,309
-150.25,308
-148,307
-149.9,306
-151.8,305
-148.3,304
-144.8,303
-149.3,302
-153.8,301
-152.5,300
-151.2,299
-152.55,298
-153.9,297
-150.35,296
-146.8,295
-148.7,294
-150.6,293
-152.35,292
-154.1,291
-153.2,290
-152.3,289
-144.45,288
-136.6,287
-146.4,286
-156.2,285
-156.666666666667,284
-157.133333333333,283
-157.6,282
-151.55,281
-145.5,280
-141.95,279
-138.4,278
-140.8,277
-143.2,276
-144.65,275
-146.1,274
-150.5,273
-154.9,272
-156.75,271
-158.6,270
-156.15,269
-153.7,268
-151.25,267
-148.8,266
-152.5,265
-156.2,264
-153.8,263
-151.4,262
-159.5,261
-154.566666666667,260
-149.633333333333,259
-144.7,258
-154.65,257
-164.6,256
-161,255
-157.4,254
-152.55,253
-147.7,252
-147.5,251
-147.3,250
-150.7,249
-154.1,248
-145.85,247
-137.6,246
-142.1,245
-146.6,244
-150.533333333333,243
-154.466666666667,242
-158.4,241
-153.2,240
-148,239
-145.25,238
-142.5,237
-149.15,236
-155.8,235
-152.05,234
-148.3,233
-152.4,232
-156.5,231
-156.7,230
