year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1906.583,-4.65,9.02,-0.86
1906.417,-4.54,8.63,-1.3
1906.25,-3.66,9.18,-1.6
1906.083,-3.59,9.07,-2.28
1905.917,-3.97,9.08,-2.57
1905.75,-4.67,8.68,-1.85
1905.583,-4.47,8.94,-1.24
1905.417,-4.35,9,-1.35
1905.25,-3.73,9.18,-1.41
1905.083,-3.72,9.21,-1.96
1904.917,-4.35,9.01,-2.11
1904.75,-4.61,8.89,-1.84
1904.583,-4.61,8.88,-1.53
1904.417,-4.42,8.94,-1.35
1904.25,-3.94,9.09,-1.25
1904.083,-3.68,9.22,-1.58
1903.917,-4.09,9.02,-2.07
1903.75,-4.73,8.85,-1.58
1903.583,-4.65,8.72,-1.03
1903.417,-4.18,8.99,-1.07
1903.25,-3.6,9.24,-1.24
1903.083,-3.68,9.21,-1.83
1902.917,-4.3,8.82,-2.06
1902.75,-4.62,8.97,-1.7
1902.583,-4.64,8.96,-1.8
1902.417,-4.28,9.09,-1.75
1902.25,-3.78,9.29,-1.8
1902.083,-3.66,9.28,-1.95
1901.917,-4.11,9.09,-2.21
1901.75,-4.61,8.94,-1.74
1901.583,-4.84,8.85,-1.4
1901.417,-4.5,8.89,-1.71
1901.25,-3.9,8.93,-1.75
1901.083,-3.62,9.1,-1.62
1900.917,-4.1,9.12,-2.16
1900.75,-4.67,8.85,-1.69
1900.583,-4.79,8.86,-1.46
1900.417,-4.55,8.92,-1.04
1900.25,-3.77,9.09,-1.16
1900.083,-3.91,9.21,-1.45
1899.917,-4.27,9.01,-1.48
1899.75,-4.49,8.94,-1.13
1899.583,-4.48,8.99,-0.63
1899.417,-4.12,8.98,-0.29
1899.25,-3.55,9.12,-0.48
1899.083,-3.58,9.2,-1.19
1898.917,-4.26,9.04,-1.28
1898.75,-4.51,8.87,-0.91
1898.583,-4.32,8.98,-0.38
1898.417,-3.94,9.02,-0.63
1898.25,-3.62,9.31,-1.27
1898.083,-3.72,9.28,-1.69
1897.917,-4.21,8.85,-1.76
