year (AD),d18O (permil)
1893.62,-5.07
1893.54,-5
1893.46,-4.87
1893.37,-4.86
1893.29,-4.86
1893.21,-4.88
1893.12,-4.69
1893.04,-4.76
1892.96,-4.84
1892.87,-4.9
1892.79,-5
1892.71,-4.96
1892.62,-5.02
1892.54,-5
1892.46,-4.97
1892.37,-4.94
1892.29,-4.9
1892.21,-4.89
1892.12,-4.88
1892.04,-4.93
1891.96,-5.08
1891.87,-4.96
1891.79,-5.02
1891.71,-5.03
1891.62,-5.07
1891.54,-5.04
1891.46,-5.01
1891.37,-4.82
1891.29,-4.82
1891.21,-4.82
1891.12,-4.78
1891.04,-4.8
1890.96,-4.82
1890.87,-4.85
1890.79,-4.89
1890.71,-5.01
1890.62,-5.02
1890.54,-5
1890.46,-4.78
1890.37,-4.87
1890.29,-4.84
1890.21,-4.81
1890.12,-4.7
1890.04,-4.75
1889.96,-4.8
1889.87,-4.76
1889.79,-4.81
1889.71,-4.85
1889.62,-4.99
1889.54,-4.96
1889.46,-4.93
1889.37,-4.86
1889.29,-4.8
1889.21,-4.73
1889.12,-4.67
1889.04,-4.72
1888.96,-4.76
1888.87,-4.82
1888.79,-4.91
1888.71,-4.83
1888.62,-5.01
1888.54,-4.49
1888.46,-4.92
1888.37,-4.85
1888.29,-4.7
1888.21,-4.78
1888.12,-4.72
1888.04,-4.89
1887.96,-4.92
1887.87,-4.96
1887.79,-5.03
1887.71,-5.05
1887.62,-5.09
1887.54,-5.03
1887.46,-4.98
1887.37,-4.87
1887.29,-4.77
1887.21,-4.75
1887.12,-4.73
1887.04,-4.86
1886.96,-4.96
1886.87,-4.99
1886.79,-5.04
1886.71,-4.95
1886.62,-5.06
1886.54,-5.05
1886.46,-4.93
1886.37,-4.95
1886.29,-4.97
1886.21,-4.87
1886.12,-4.76
1886.04,-4.84
1885.96,-4.84
1885.87,-4.92
1885.79,-4.95
1885.71,-5.09
1885.62,-5.25
1885.54,-5.13
1885.46,-5.08
1885.37,-4.98
1885.29,-4.85
1885.21,-4.8
1885.12,-4.75
1885.04,-4.84
1884.96,-4.86
1884.87,-4.83
1884.79,-4.96
1884.71,-4.97
1884.62,-5.04
1884.54,-4.77
1884.46,-4.83
1884.37,-4.82
1884.29,-4.81
1884.21,-4.78
1884.12,-4.75
1884.04,-4.79
1883.96,-4.82
1883.87,-4.85
1883.79,-4.88
1883.71,-4.98
1883.62,-5.08
