depth (m),age (BP),temperature (degC),depth (m),age (BP),IRD (g),planktic.d13C (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
NA,NA,NA,17.815,89125,0.14,NA,NA,NA,NA
NA,NA,NA,17.825,89172,0.17,NA,NA,NA,NA
NA,NA,NA,17.835,89220,0.25,NA,NA,NA,NA
NA,NA,NA,17.845,89267,0.25,NA,NA,NA,NA
NA,NA,NA,17.855,89315,0.32,NA,3.15,NA,NA
NA,NA,NA,17.865,89362,0.29,NA,NA,NA,NA
NA,NA,NA,17.875,89410,0.1,NA,NA,NA,NA
NA,NA,NA,17.885,89457,0.2,NA,NA,NA,NA
NA,NA,NA,17.895,89505,0.09,NA,NA,NA,NA
NA,NA,NA,17.905,89552,0.5,NA,3.46,4.01,NA
NA,NA,NA,17.915,89600,0.14,NA,NA,NA,NA
NA,NA,NA,17.925,89647,0.45,NA,NA,NA,NA
NA,NA,NA,17.935,89695,0.42,NA,NA,NA,NA
NA,NA,NA,17.945,89742,0.43,NA,NA,NA,NA
NA,NA,NA,17.955,89790,0.74,NA,3.82,NA,NA
NA,NA,NA,17.965,89838,0.19,NA,NA,NA,NA
NA,NA,NA,17.975,89885,0.24,NA,NA,NA,NA
NA,NA,NA,17.985,89932,0.46,NA,NA,NA,NA
NA,NA,NA,17.995,89980,0.67,NA,NA,NA,NA
NA,NA,NA,18.005,90027,1.35,NA,3.73,NA,NA
NA,NA,NA,18.015,90075,1.28,NA,NA,NA,NA
NA,NA,NA,18.025,90123,0.72,NA,NA,NA,NA
NA,NA,NA,18.035,90170,0.5,NA,NA,NA,NA
NA,NA,NA,18.045,90218,0.64,NA,NA,NA,NA
NA,NA,NA,18.055,90265,1.47,NA,3.46,4.22,NA
NA,NA,NA,18.065,90313,2.17,NA,NA,NA,NA
NA,NA,NA,18.075,90360,1.28,NA,NA,NA,NA
NA,NA,NA,18.085,90408,5.67,NA,NA,NA,NA
NA,NA,NA,18.095,90455,3.05,NA,NA,NA,NA
NA,NA,NA,18.105,90503,1,NA,3.46,4.06,NA
NA,NA,NA,18.115,90550,1.1,NA,NA,NA,NA
NA,NA,NA,18.125,90598,1.1,NA,NA,NA,NA
NA,NA,NA,18.135,90645,0.25,NA,NA,NA,NA
NA,NA,NA,18.145,90693,0.4,NA,NA,NA,NA
NA,NA,NA,18.155,90740,0.34,NA,3.62,3.97,NA
NA,NA,NA,18.165,90806,0.28,NA,NA,NA,NA
NA,NA,NA,18.175,90890,0.25,NA,NA,NA,NA
NA,NA,NA,18.185,90948,0.62,NA,NA,NA,NA
NA,NA,NA,18.195,90968,0.38,NA,NA,NA,NA
NA,NA,NA,18.205,90987,0.51,NA,3.57,4.16,NA
NA,NA,NA,18.215,91007,0.26,NA,NA,NA,NA
NA,NA,NA,18.225,91026,0.41,NA,NA,NA,NA
NA,NA,NA,18.235,91046,0.41,NA,NA,NA,NA
NA,NA,NA,18.245,91065,0.54,NA,NA,NA,NA
NA,NA,NA,18.255,91085,0.4,NA,3.54,NA,NA
NA,NA,NA,18.265,91105,0.48,NA,NA,NA,NA
NA,NA,NA,18.275,91124,0.28,NA,NA,NA,NA
NA,NA,NA,18.285,91144,0.44,NA,NA,NA,NA
