year (AD),age (BP),accumulation (gcm-2a-1),depth_top_m (m),thicnkess_m (m)
-3859.2,5809.2,0.23,1061.5,0.128
-3863.5,5813.5,0.248,1062.05,0.139
-3867.5,5817.5,0.243,1062.6,0.136
-3871.5,5821.5,0.252,1063.15,0.14
-3875.4,5825.4,0.22,1063.7,0.123
-3879.9,5829.9,0.238,1064.25,0.133
-3884,5834,0.249,1064.8,0.139
-3888,5838,0.233,1065.35,0.13
-3892.3,5842.3,0.24,1065.9,0.133
-3896.4,5846.4,0.248,1066.45,0.138
-3900.4,5850.4,0.25,1067,0.139
-3904.3,5854.3,0.248,1067.55,0.138
-3908.3,5858.3,0.231,1068.1,0.128
-3912.6,5862.6,0.223,1068.65,0.124
-3917,5867,0.241,1069.2,0.134
-3921.1,5871.1,0.243,1069.75,0.135
-3925.2,5875.2,0.241,1070.3,0.134
-3929.3,5879.3,0.22,1070.85,0.122
-3933.8,5883.8,0.248,1071.4,0.138
-3937.8,5887.8,0.251,1071.95,0.139
-3941.8,5891.8,0.236,1072.5,0.131
-3946,5896,0.25,1073.05,0.138
-3949.9,5899.9,0.224,1073.6,0.124
-3954.4,5904.4,0.241,1074.15,0.133
-3958.5,5908.5,0.229,1074.7,0.127
-3962.9,5912.9,0.232,1075.25,0.128
-3967.1,5917.1,0.235,1075.8,0.13
-3971.4,5921.4,0.248,1076.35,0.137
-3975.4,5925.4,0.251,1076.9,0.139
-3979.3,5929.3,0.193,1077.45,0.107
-3984.5,5934.5,0.227,1078,0.125
-3988.9,5938.9,0.235,1078.55,0.129
-3993.1,5943.1,0.237,1079.1,0.131
-3997.3,5947.3,0.225,1079.65,0.124
-4001.8,5951.8,0.236,1080.2,0.13
-4006,5956,0.229,1080.75,0.126
-4010.4,5960.4,0.228,1081.3,0.125
-4014.7,5964.7,0.233,1081.85,0.128
-4019,5969,0.218,1082.4,0.12
-4023.6,5973.6,0.223,1082.95,0.123
-4028.1,5978.1,0.221,1083.5,0.121
-4032.6,5982.6,0.248,1084.05,0.136
-4036.7,5986.7,0.231,1084.6,0.127
-4041,5991,0.229,1085.15,0.126
-4045.4,5995.4,0.234,1085.7,0.128
-4049.7,5999.7,0.252,1086.25,0.138
-4053.7,6003.7,0.248,1086.8,0.136
-4057.7,6007.7,0.226,1087.35,0.124
-4062.1,6012.1,0.237,1087.9,0.13
-4066.4,6016.4,0.218,1088.45,0.119
-4071,6021,0.234,1089,0.128
-4075.3,6025.3,0.221,1089.55,0.121
-4079.8,6029.8,0.24,1090.1,0.131
-4084,6034,0.233,1090.65,0.127
-4088.3,6038.3,0.245,1091.2,0.134
-4092.4,6042.4,0.22,1091.75,0.12
-4097,6047,0.241,1092.3,0.131
-4101.2,6051.2,0.238,1092.85,0.13
-4105.5,6055.5,0.238,1093.4,0.13
-4109.7,6059.7,0.242,1093.95,0.132
-4113.9,6063.9,0.223,1094.5,0.122
-4118.4,6068.4,0.25,1095.05,0.136
-4122.4,6072.4,0.235,1095.6,0.128
-4126.7,6076.7,0.237,1096.15,0.129
-4131,6081,0.219,1096.7,0.119
-4135.6,6085.6,0.241,1097.25,0.131
-4139.8,6089.8,0.254,1097.8,0.138
-4143.8,6093.8,0.23,1098.35,0.125
-4148.2,6098.2,0.214,1098.9,0.116
-4152.9,6102.9,0.244,1099.45,0.132
-4157.1,6107.1,0.243,1100,0.132
-4161.2,6111.2,0.241,1100.55,0.131
-4165.4,6115.4,0.245,1101.1,0.133
-4169.6,6119.6,0.247,1101.65,0.134
-4173.7,6123.7,0.24,1102.2,0.13
-4177.9,6127.9,0.248,1102.75,0.134
-4182,6132,0.221,1103.3,0.12
-4186.6,6136.6,0.231,1103.85,0.125
-4191,6141,0.234,1104.4,0.127
-4195.4,6145.4,0.214,1104.95,0.116
-4200.1,6150.1,0.219,1105.5,0.118
-4204.8,6154.8,0.224,1106.05,0.121
-4209.3,6159.3,0.242,1106.6,0.13
-4213.6,6163.6,0.236,1107.15,0.127
-4217.9,6167.9,0.244,1107.7,0.132
-4222.1,6172.1,0.221,1108.25,0.119
-4226.7,6176.7,0.237,1108.8,0.128
-4231,6181,0.223,1109.35,0.12
-4235.6,6185.6,0.244,1109.9,0.132
-4239.7,6189.7,0.238,1110.45,0.128
-4244,6194,0.244,1111,0.131
-4248.2,6198.2,0.245,1111.55,0.132
-4252.4,6202.4,0.257,1112.1,0.138
-4256.4,6206.4,0.234,1112.65,0.125
-4260.8,6210.8,0.242,1113.2,0.13
-4265,6215,0.234,1113.75,0.126
-4269.4,6219.4,0.231,1114.3,0.124
-4273.8,6223.8,0.236,1114.85,0.126
-4278.2,6228.2,0.223,1115.4,0.119
-4282.8,6232.8,0.231,1115.95,0.124
-4287.2,6237.2,0.235,1116.5,0.126
-4291.6,6241.6,0.237,1117.05,0.127
-4296,6246,0.224,1117.6,0.12
-4300.5,6250.5,0.233,1118.15,0.124
-4305,6255,0.247,1118.7,0.132
-4309.1,6259.1,0.245,1119.25,0.131
-4313.3,6263.3,0.24,1119.8,0.128
-4317.6,6267.6,0.239,1120.35,0.127
-4321.9,6271.9,0.218,1120.9,0.116
-4326.7,6276.7,0.241,1121.45,0.129
-4330.9,6280.9,0.241,1122,0.128
-4335.2,6285.2,0.231,1122.55,0.123
-4339.7,6289.7,0.238,1123.1,0.127
-4344,6294,0.214,1123.65,0.114
-4348.9,6298.9,0.242,1124.2,0.129
-4353.1,6303.1,0.224,1124.75,0.119
-4357.8,6307.8,0.231,1125.3,0.123
-4362.2,6312.2,0.248,1125.85,0.132
-4366.4,6316.4,0.236,1126.4,0.125
-4370.8,6320.8,0.245,1126.95,0.13
-4375,6325,0.241,1127.5,0.128
-4379.3,6329.3,0.243,1128.05,0.129
-4383.6,6333.6,0.225,1128.6,0.119
-4388.2,6338.2,0.231,1129.15,0.123
-4392.7,6342.7,0.226,1129.7,0.12
-4397.3,6347.3,0.226,1130.25,0.12
-4401.9,6351.9,0.238,1130.8,0.126
-4406.3,6356.3,0.241,1131.35,0.128
-4410.6,6360.6,0.242,1131.9,0.128
-4414.9,6364.9,0.256,1132.45,0.135
-4418.9,6368.9,0.216,1133,0.114
-4423.8,6373.8,0.233,1133.55,0.123
-4428.2,6378.2,0.238,1134.1,0.125
-4432.6,6382.6,0.232,1134.65,0.122
-4437.1,6387.1,0.217,1135.2,0.115
-4441.9,6391.9,0.24,1135.75,0.126
-4446.3,6396.3,0.232,1136.3,0.122
-4450.8,6400.8,0.242,1136.85,0.127
-4455.1,6405.1,0.23,1137.4,0.121
-4459.6,6409.6,0.222,1137.95,0.117
-4464.3,6414.3,0.235,1138.5,0.124
-4468.8,6418.8,0.24,1139.05,0.126
-4473.1,6423.1,0.237,1139.6,0.125
-4477.6,6427.6,0.244,1140.15,0.128
-4481.9,6431.9,0.238,1140.7,0.125
-4486.3,6436.3,0.233,1141.25,0.122
-4490.7,6440.7,0.23,1141.8,0.12
-4495.3,6445.3,0.246,1142.35,0.129
-4499.6,6449.6,0.235,1142.9,0.123
-4504,6454,0.207,1143.45,0.108
-4509.1,6459.1,0.237,1144,0.124
-4513.5,6463.5,0.217,1144.55,0.114
-4518.4,6468.4,0.246,1145.1,0.129
-4522.6,6472.6,0.244,1145.65,0.128
-4527,6477,0.238,1146.2,0.124
-4531.4,6481.4,0.236,1146.75,0.123
-4535.8,6485.8,0.24,1147.3,0.125
-4540.2,6490.2,0.225,1147.85,0.117
-4544.9,6494.9,0.24,1148.4,0.125
-4549.3,6499.3,0.234,1148.95,0.122
-4553.8,6503.8,0.249,1149.5,0.13
-4558.1,6508.1,0.232,1150.05,0.121
-4562.6,6512.6,0.244,1150.6,0.127
-4566.9,6516.9,0.231,1151.15,0.12
-4571.5,6521.5,0.244,1151.7,0.127
-4575.9,6525.9,0.233,1152.25,0.121
-4580.4,6530.4,0.233,1152.8,0.121
-4584.9,6534.9,0.223,1153.35,0.116
-4589.7,6539.7,0.239,1153.9,0.124
-4594.1,6544.1,0.236,1154.45,0.123
-4598.6,6548.6,0.24,1155,0.124
-4603,6553,0.236,1155.55,0.122
-4607.5,6557.5,0.241,1156.1,0.125
-4611.9,6561.9,0.226,1156.65,0.117
-4616.6,6566.6,0.234,1157.2,0.121
-4621.1,6571.1,0.244,1157.75,0.126
-4625.5,6575.5,0.241,1158.3,0.125
-4629.9,6579.9,0.23,1158.85,0.119
-4634.5,6584.5,0.237,1159.4,0.123
-4639,6589,0.239,1159.95,0.123
-4643.5,6593.5,0.233,1160.5,0.121
-4648,6598,0.248,1161.05,0.128
-4652.3,6602.3,0.228,1161.6,0.118
-4657,6607,0.214,1162.15,0.111
-4662,6612,0.23,1162.7,0.119
-4666.6,6616.6,0.236,1163.25,0.122
-4671.1,6621.1,0.248,1163.8,0.128
-4675.4,6625.4,0.23,1164.35,0.119
-4680.1,6630.1,0.236,1164.9,0.121
-4684.6,6634.6,0.239,1165.45,0.123
-4689.1,6639.1,0.218,1166,0.112
-4694,6644,0.254,1166.55,0.131
-4698.2,6648.2,0.238,1167.1,0.122
-4702.7,6652.7,0.238,1167.65,0.122
-4707.2,6657.2,0.235,1168.2,0.121
-4711.7,6661.7,0.239,1168.75,0.123
-4716.2,6666.2,0.231,1169.3,0.118
-4720.9,6670.9,0.24,1169.85,0.123
-4725.3,6675.3,0.241,1170.4,0.123
-4729.8,6679.8,0.249,1170.95,0.127
-4734.1,6684.1,0.251,1171.5,0.128
-4738.4,6688.4,0.246,1172.05,0.126
-4742.7,6692.7,0.243,1172.6,0.124
-4747.2,6697.2,0.242,1173.15,0.124
-4751.6,6701.6,0.232,1173.7,0.118
-4756.3,6706.3,0.231,1174.25,0.118
-4760.9,6710.9,0.224,1174.8,0.114
-4765.7,6715.7,0.237,1175.35,0.121
-4770.3,6720.3,0.248,1175.9,0.126
-4774.7,6724.7,0.244,1176.45,0.124
-4779.1,6729.1,0.247,1177,0.126
-4783.4,6733.4,0.253,1177.55,0.129
-4787.7,6737.7,0.245,1178.1,0.125
-4792.1,6742.1,0.234,1178.65,0.119
-4796.8,6746.8,0.226,1179.2,0.115
-4801.5,6751.5,0.242,1179.75,0.123
-4806,6756,0.214,1180.3,0.109
-4811.1,6761.1,0.238,1180.85,0.121
-4815.6,6765.6,0.244,1181.4,0.124
-4820.1,6770.1,0.237,1181.95,0.12
-4824.6,6774.6,0.232,1182.5,0.118
-4829.3,6779.3,0.227,1183.05,0.115
-4834.1,6784.1,0.227,1183.6,0.115
-4838.9,6788.9,0.236,1184.15,0.12
-4843.5,6793.5,0.24,1184.7,0.121
-4848,6798,0.235,1185.25,0.119
-4852.6,6802.6,0.225,1185.8,0.114
-4857.4,6807.4,0.229,1186.35,0.116
-4862.2,6812.2,0.235,1186.9,0.119
-4866.8,6816.8,0.247,1187.45,0.125
-4871.2,6821.2,0.241,1188,0.122
-4875.7,6825.7,0.218,1188.55,0.11
-4880.7,6830.7,0.23,1189.1,0.116
-4885.5,6835.5,0.246,1189.65,0.124
-4889.9,6839.9,0.253,1190.2,0.128
-4894.2,6844.2,0.225,1190.75,0.113
-4899.1,6849.1,0.238,1191.3,0.12
-4903.7,6853.7,0.245,1191.85,0.123
-4908.1,6858.1,0.256,1192.4,0.129
-4912.4,6862.4,0.231,1192.95,0.116
-4917.1,6867.1,0.226,1193.5,0.114
-4922,6872,0.235,1194.05,0.118
-4926.6,6876.6,0.239,1194.6,0.12
-4931.2,6881.2,0.243,1195.15,0.122
-4935.7,6885.7,0.253,1195.7,0.127
-4940,6890,0.248,1196.25,0.124
-4944.5,6894.5,0.236,1196.8,0.118
-4949.1,6899.1,0.235,1197.35,0.118
-4953.8,6903.8,0.223,1197.9,0.111
-4958.7,6908.7,0.228,1198.45,0.114
-4963.5,6913.5,0.251,1199,0.126
-4967.9,6917.9,0.242,1199.55,0.121
-4972.5,6922.5,0.221,1200.1,0.11
-4977.4,6927.4,0.239,1200.65,0.12
-4982,6932,0.233,1201.2,0.117
-4986.8,6936.8,0.24,1201.75,0.12
-4991.4,6941.4,0.249,1202.3,0.124
-4995.8,6945.8,0.24,1202.85,0.12
-5000.4,6950.4,0.239,1203.4,0.119
-5005,6955,0.249,1203.95,0.124
-5009.4,6959.4,0.233,1204.5,0.116
-5014.2,6964.2,0.227,1205.05,0.113
-5019.1,6969.1,0.237,1205.6,0.118
-5023.7,6973.7,0.22,1206.15,0.109
-5028.8,6978.8,0.242,1206.7,0.12
-5033.3,6983.3,0.228,1207.25,0.113
-5038.2,6988.2,0.243,1207.8,0.121
-5042.8,6992.8,0.236,1208.35,0.117
-5047.4,6997.4,0.245,1208.9,0.122
-5052,7002,0.243,1209.45,0.12
-5056.5,7006.5,0.233,1210,0.116
-5061.3,7011.3,0.242,1210.55,0.12
-5065.9,7015.9,0.23,1211.1,0.114
-5070.7,7020.7,0.252,1211.65,0.124
-5075.1,7025.1,0.233,1212.2,0.115
-5079.9,7029.9,0.237,1212.75,0.117
-5084.6,7034.6,0.211,1213.3,0.104
-5089.9,7039.9,0.238,1213.85,0.117
-5094.6,7044.6,0.249,1214.4,0.123
-5099.1,7049.1,0.222,1214.95,0.109
-5104.1,7054.1,0.217,1215.5,0.107
-5109.2,7059.2,0.217,1216.05,0.107
-5114.3,7064.3,0.235,1216.6,0.116
-5119.1,7069.1,0.214,1217.15,0.105
-5124.3,7074.3,0.247,1217.7,0.122
-5128.8,7078.8,0.236,1218.25,0.116
-5133.6,7083.6,0.244,1218.8,0.12
-5138.1,7088.1,0.256,1219.35,0.126
-5142.5,7092.5,0.244,1219.9,0.12
-5147.1,7097.1,0.243,1220.45,0.119
-5151.7,7101.7,0.241,1221,0.118
-5156.4,7106.4,0.242,1221.55,0.119
-5161,7111,0.232,1222.1,0.114
-5165.9,7115.9,0.218,1222.65,0.107
-5171,7121,0.235,1223.2,0.115
-5175.8,7125.8,0.24,1223.75,0.117
-5180.5,7130.5,0.238,1224.3,0.116
-5185.2,7135.2,0.242,1224.85,0.118
-5189.8,7139.8,0.256,1225.4,0.125
-5194.2,7144.2,0.229,1225.95,0.112
-5199.1,7149.1,0.244,1226.5,0.119
-5203.8,7153.8,0.227,1227.05,0.111
-5208.7,7158.7,0.242,1227.6,0.118
-5213.4,7163.4,0.25,1228.15,0.122
-5217.9,7167.9,0.239,1228.7,0.117
-5222.6,7172.6,0.235,1229.25,0.114
-5227.4,7177.4,0.233,1229.8,0.114
-5232.2,7182.2,0.25,1230.35,0.122
-5236.8,7186.8,0.252,1230.9,0.123
-5241.3,7191.3,0.239,1231.45,0.116
-5246,7196,0.245,1232,0.119
-5250.6,7200.6,0.24,1232.55,0.117
-5255.3,7205.3,0.255,1233.1,0.124
-5259.7,7209.7,0.239,1233.65,0.116
-5264.5,7214.5,0.243,1234.2,0.118
-5269.2,7219.2,0.25,1234.75,0.121
-5273.7,7223.7,0.249,1235.3,0.12
-5278.3,7228.3,0.25,1235.85,0.121
-5282.8,7232.8,0.232,1236.4,0.112
-5287.7,7237.7,0.229,1236.95,0.111
-5292.7,7242.7,0.234,1237.5,0.113
-5297.5,7247.5,0.24,1238.05,0.116
-5302.3,7252.3,0.225,1238.6,0.109
-5307.3,7257.3,0.238,1239.15,0.115
-5312.1,7262.1,0.25,1239.7,0.12
-5316.7,7266.7,0.236,1240.25,0.114
-5321.5,7271.5,0.246,1240.8,0.119
-5326.1,7276.1,0.248,1241.35,0.119
-5330.7,7280.7,0.258,1241.9,0.124
-5335.2,7285.2,0.23,1242.45,0.111
-5340.1,7290.1,0.236,1243,0.113
-5345,7295,0.248,1243.55,0.119
-5349.6,7299.6,0.246,1244.1,0.118
-5354.2,7304.2,0.237,1244.65,0.114
-5359.1,7309.1,0.247,1245.2,0.119
-5363.7,7313.7,0.23,1245.75,0.111
-5368.7,7318.7,0.236,1246.3,0.113
-5373.5,7323.5,0.242,1246.85,0.116
-5378.3,7328.3,0.247,1247.4,0.119
-5382.9,7332.9,0.243,1247.95,0.116
-5387.6,7337.6,0.233,1248.5,0.112
-5392.5,7342.5,0.251,1249.05,0.12
-5397.1,7347.1,0.245,1249.6,0.117
-5401.8,7351.8,0.242,1250.15,0.116
-5406.6,7356.6,0.234,1250.7,0.112
-5411.5,7361.5,0.236,1251.25,0.113
-5416.3,7366.3,0.234,1251.8,0.112
-5421.3,7371.3,0.247,1252.35,0.118
-5425.9,7375.9,0.231,1252.9,0.11
-5430.9,7380.9,0.246,1253.45,0.117
-5435.6,7385.6,0.233,1254,0.111
-5440.6,7390.6,0.243,1254.55,0.116
-5445.3,7395.3,0.248,1255.1,0.118
-5450,7400,0.235,1255.65,0.112
-5454.9,7404.9,0.234,1256.2,0.111
-5459.8,7409.8,0.233,1256.75,0.111
-5464.8,7414.8,0.246,1257.3,0.117
-5469.5,7419.5,0.249,1257.85,0.118
-5474.1,7424.1,0.228,1258.4,0.108
-5479.2,7429.2,0.24,1258.95,0.114
-5484,7434,0.231,1259.5,0.11
-5489,7439,0.235,1260.05,0.111
-5494,7444,0.247,1260.6,0.117
-5498.7,7448.7,0.248,1261.15,0.118
-5503.4,7453.4,0.231,1261.7,0.11
-5508.4,7458.4,0.237,1262.25,0.112
-5513.3,7463.3,0.239,1262.8,0.113
-5518.1,7468.1,0.241,1263.35,0.114
-5522.9,7472.9,0.237,1263.9,0.112
-5527.9,7477.9,0.229,1264.45,0.108
-5532.9,7482.9,0.246,1265,0.116
-5537.7,7487.7,0.252,1265.55,0.119
-5542.3,7492.3,0.252,1266.1,0.119
-5546.9,7496.9,0.233,1266.65,0.11
-5551.9,7501.9,0.246,1267.2,0.116
-5556.7,7506.7,0.243,1267.75,0.114
-5561.5,7511.5,0.251,1268.3,0.118
-5566.2,7516.2,0.227,1268.85,0.107
-5571.3,7521.3,0.228,1269.4,0.107
-5576.4,7526.4,0.231,1269.95,0.108
-5581.5,7531.5,0.246,1270.5,0.116
-5586.3,7536.3,0.24,1271.05,0.113
-5591.1,7541.1,0.232,1271.6,0.109
-5596.2,7546.2,0.247,1272.15,0.116
-5600.9,7550.9,0.242,1272.7,0.113
-5605.8,7555.8,0.215,1273.25,0.101
-5611.2,7561.2,0.231,1273.8,0.108
-5616.3,7566.3,0.241,1274.35,0.113
-5621.2,7571.2,0.234,1274.9,0.109
-5626.2,7576.2,0.234,1275.45,0.109
-5631.3,7581.3,0.244,1276,0.114
-5636.1,7586.1,0.233,1276.55,0.109
-5641.1,7591.1,0.244,1277.1,0.114
-5646,7596,0.234,1277.65,0.109
-5651,7601,0.232,1278.2,0.108
-5656.1,7606.1,0.249,1278.75,0.116
-5660.8,7610.8,0.236,1279.3,0.11
-5665.8,7615.8,0.252,1279.85,0.117
-5670.5,7620.5,0.247,1280.4,0.115
-5675.3,7625.3,0.254,1280.95,0.118
-5680,7630,0.255,1281.5,0.119
-5684.6,7634.6,0.24,1282.05,0.112
-5689.5,7639.5,0.246,1282.6,0.114
-5694.3,7644.3,0.236,1283.15,0.11
-5699.4,7649.4,0.227,1283.7,0.105
-5704.6,7654.6,0.259,1284.25,0.12
-5709.2,7659.2,0.242,1284.8,0.112
-5714.1,7664.1,0.24,1285.35,0.111
-5719,7669,0.236,1285.9,0.109
-5724,7674,0.251,1286.45,0.116
-5728.8,7678.8,0.246,1287,0.114
-5733.6,7683.6,0.233,1287.55,0.108
-5738.7,7688.7,0.23,1288.1,0.106
-5743.9,7693.9,0.239,1288.65,0.111
-5748.9,7698.9,0.221,1289.2,0.102
-5754.3,7704.3,0.251,1289.75,0.116
-5759,7709,0.254,1290.3,0.117
-5763.7,7713.7,0.248,1290.85,0.114
-5768.5,7718.5,0.241,1291.4,0.111
-5773.5,7723.5,0.236,1291.95,0.109
-5778.5,7728.5,0.243,1292.5,0.112
-5783.4,7733.4,0.226,1293.05,0.104
-5788.7,7738.7,0.251,1293.6,0.116
-5793.5,7743.5,0.253,1294.15,0.116
-5798.2,7748.2,0.244,1294.7,0.112
-5803.1,7753.1,0.241,1295.25,0.111
-5808.1,7758.1,0.241,1295.8,0.111
-5813,7763,0.252,1296.35,0.116
-5817.8,7767.8,0.235,1296.9,0.108
-5822.9,7772.9,0.249,1297.45,0.114
-5827.7,7777.7,0.242,1298,0.111
-5832.7,7782.7,0.219,1298.55,0.1
-5838.2,7788.2,0.239,1299.1,0.109
-5843.2,7793.2,0.253,1299.65,0.116
-5847.9,7797.9,0.23,1300.2,0.105
-5853.2,7803.2,0.228,1300.75,0.104
-5858.4,7808.4,0.223,1301.3,0.102
-5863.8,7813.8,0.247,1301.85,0.113
-5868.7,7818.7,0.22,1302.4,0.1
-5874.2,7824.2,0.243,1302.95,0.111
-5879.2,7829.2,0.244,1303.5,0.111
-5884.1,7834.1,0.234,1304.05,0.107
-5889.3,7839.3,0.248,1304.6,0.113
-5894.1,7844.1,0.235,1305.15,0.107
-5899.3,7849.3,0.235,1305.7,0.107
-5904.4,7854.4,0.239,1306.25,0.109
-5909.5,7859.5,0.249,1306.8,0.113
-5914.4,7864.4,0.237,1307.35,0.107
-5919.5,7869.5,0.22,1307.9,0.1
-5925,7875,0.242,1308.45,0.11
-5930,7880,0.237,1309,0.107
-5935.1,7885.1,0.255,1309.55,0.116
-5939.9,7889.9,0.246,1310.1,0.111
-5944.8,7894.8,0.241,1310.65,0.109
-5949.9,7899.9,0.245,1311.2,0.111
-5954.8,7904.8,0.252,1311.75,0.114
-5959.7,7909.7,0.232,1312.3,0.105
-5964.9,7914.9,0.247,1312.85,0.112
-5969.8,7919.8,0.237,1313.4,0.107
-5975,7925,0.235,1313.95,0.106
-5980.2,7930.2,0.238,1314.5,0.107
-5985.3,7935.3,0.227,1315.05,0.102
-5990.7,7940.7,0.224,1315.6,0.101
-5996.1,7946.1,0.238,1316.15,0.107
-6001.2,7951.2,0.236,1316.7,0.106
-6006.4,7956.4,0.235,1317.25,0.106
-6011.6,7961.6,0.231,1317.8,0.104
-6016.9,7966.9,0.205,1318.35,0.092
-6022.9,7972.9,0.244,1318.9,0.11
-6027.9,7977.9,0.243,1319.45,0.109
-6033,7983,0.211,1320,0.095
-6038.8,7988.8,0.216,1320.55,0.097
-6044.5,7994.5,0.231,1321.1,0.104
-6049.8,7999.8,0.241,1321.65,0.108
-6054.9,8004.9,0.243,1322.2,0.109
-6059.9,8009.9,0.24,1322.75,0.107
-6065,8015,0.229,1323.3,0.103
-6070.4,8020.4,0.246,1323.85,0.11
-6075.4,8025.4,0.229,1324.4,0.102
-6080.8,8030.8,0.214,1324.95,0.096
-6086.5,8036.5,0.229,1325.5,0.102
-6091.9,8041.9,0.221,1326.05,0.099
-6097.5,8047.5,0.217,1326.6,0.097
-6103.2,8053.2,0.208,1327.15,0.093
-6109.1,8059.1,0.218,1327.7,0.097
-6114.8,8064.8,0.217,1328.25,0.097
-6120.5,8070.5,0.253,1328.8,0.113
-6125.4,8075.4,0.249,1329.35,0.111
-6130.3,8080.3,0.204,1329.9,0.091
-6136.4,8086.4,0.22,1330.45,0.098
-6142,8092,0.201,1331,0.089
-6148.2,8098.2,0.223,1331.55,0.099
-6153.7,8103.7,0.221,1332.1,0.098
-6159.3,8109.3,0.224,1332.65,0.099
-6164.9,8114.9,0.226,1333.2,0.1
-6170.4,8120.4,0.201,1333.75,0.089
-6176.5,8126.5,0.171,1334.3,0.076
-6183.8,8133.8,0.211,1334.85,0.093
-6189.7,8139.7,0.208,1335.4,0.092
-6195.6,8145.6,0.222,1335.95,0.098
-6201.3,8151.3,0.218,1336.5,0.096
-6207,8157,0.244,1337.05,0.108
-6212.1,8162.1,0.235,1337.6,0.104
-6217.4,8167.4,0.206,1338.15,0.091
-6223.5,8173.5,0.235,1338.7,0.104
-6228.8,8178.8,0.236,1339.25,0.104
-6234,8184,0.249,1339.8,0.11
-6239.1,8189.1,0.245,1340.35,0.108
-6244.2,8194.2,0.233,1340.9,0.103
-6249.5,8199.5,0.241,1341.45,0.106
-6254.7,8204.7,0.229,1342,0.1
-6260.2,8210.2,0.22,1342.55,0.097
-6265.9,8215.9,0.243,1343.1,0.107
-6271,8221,0.244,1343.65,0.107
-6276.2,8226.2,0.24,1344.2,0.105
-6281.4,8231.4,0.229,1344.75,0.101
-6286.9,8236.9,0.237,1345.3,0.104
-6292.2,8242.2,0.244,1345.85,0.107
-6297.3,8247.3,0.227,1346.4,0.099
-6302.8,8252.8,0.227,1346.95,0.099
-6308.4,8258.4,0.242,1347.5,0.106
-6313.6,8263.6,0.229,1348.05,0.1
-6319.1,8269.1,0.225,1348.6,0.098
-6324.7,8274.7,0.251,1349.15,0.11
-6329.7,8279.7,0.25,1349.7,0.109
-6334.7,8284.7,0.234,1350.25,0.102
-6340.1,8290.1,0.24,1350.8,0.104
-6345.4,8295.4,0.241,1351.35,0.105
-6350.6,8300.6,0.23,1351.9,0.1
-6356.1,8306.1,0.228,1352.45,0.099
-6361.7,8311.7,0.227,1353,0.099
-6367.2,8317.2,0.218,1353.55,0.095
-6373,8323,0.242,1354.1,0.105
-6378.3,8328.3,0.236,1354.65,0.102
-6383.6,8333.6,0.239,1355.2,0.104
-6388.9,8338.9,0.25,1355.75,0.108
-6394,8344,0.235,1356.3,0.102
-6399.4,8349.4,0.242,1356.85,0.105
-6404.7,8354.7,0.22,1357.4,0.095
-6410.5,8360.5,0.217,1357.95,0.094
-6416.3,8366.3,0.241,1358.5,0.104
-6421.6,8371.6,0.229,1359.05,0.099
-6427.2,8377.2,0.236,1359.6,0.102
-6432.6,8382.6,0.258,1360.15,0.111
-6437.5,8387.5,0.252,1360.7,0.109
-6442.6,8392.6,0.238,1361.25,0.103
-6448,8398,0.236,1361.8,0.102
-6453.4,8403.4,0.231,1362.35,0.1
-6458.9,8408.9,0.22,1362.9,0.095
-6464.7,8414.7,0.239,1363.45,0.103
-6470,8420,0.249,1364,0.107
-6475.2,8425.2,0.235,1364.55,0.101
-6480.6,8430.6,0.233,1365.1,0.1
-6486.1,8436.1,0.235,1365.65,0.101
-6491.6,8441.6,0.238,1366.2,0.102
-6497,8447,0.255,1366.75,0.109
-6502,8452,0.234,1367.3,0.1
-6507.5,8457.5,0.224,1367.85,0.096
-6513.2,8463.2,0.238,1368.4,0.102
-6518.6,8468.6,0.254,1368.95,0.109
-6523.7,8473.7,0.238,1369.5,0.102
-6529.1,8479.1,0.233,1370.05,0.099
-6534.6,8484.6,0.248,1370.6,0.106
-6539.8,8489.8,0.221,1371.15,0.094
-6545.6,8495.6,0.242,1371.7,0.103
-6551,8501,0.254,1372.25,0.108
-6556,8506,0.252,1372.8,0.107
-6561.2,8511.2,0.237,1373.35,0.101
-6566.6,8516.6,0.22,1373.9,0.094
-6572.5,8522.5,0.24,1374.45,0.102
-6577.9,8527.9,0.242,1375,0.103
-6583.2,8533.2,0.217,1375.55,0.092
-6589.2,8539.2,0.232,1376.1,0.099
-6594.7,8544.7,0.232,1376.65,0.099
-6600.3,8550.3,0.246,1377.2,0.104
-6605.6,8555.6,0.227,1377.75,0.096
-6611.3,8561.3,0.21,1378.3,0.089
-6617.5,8567.5,0.238,1378.85,0.101
-6622.9,8572.9,0.233,1379.4,0.099
-6628.5,8578.5,0.226,1379.95,0.096
-6634.3,8584.3,0.23,1380.5,0.097
-6639.9,8589.9,0.232,1381.05,0.098
-6645.5,8595.5,0.247,1381.6,0.104
-6650.8,8600.8,0.243,1382.15,0.103
-6656.2,8606.2,0.242,1382.7,0.102
-6661.5,8611.5,0.216,1383.25,0.091
-6667.6,8617.6,0.224,1383.8,0.094
-6673.4,8623.4,0.223,1384.35,0.094
-6679.3,8629.3,0.25,1384.9,0.105
-6684.5,8634.5,0.25,1385.45,0.105
-6689.7,8639.7,0.24,1386,0.101
-6695.2,8645.2,0.229,1386.55,0.096
-6700.9,8650.9,0.249,1387.1,0.105
-6706.1,8656.1,0.236,1387.65,0.099
-6711.7,8661.7,0.232,1388.2,0.098
