depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),planktic.d18O (permil),depth (m),temperature (degC),planktic.MgCa (mmol_mol),depth (m),age (BP),d18O (permil),d13C (permil)
NA,NA,NA,NA,17.972,2.739,NA,NA,NA,18.872,153180,4.443,0.205
NA,NA,NA,NA,17.992,2.936,NA,NA,NA,18.892,153330,4.5,0.237
NA,NA,NA,NA,18.012,2.858,NA,NA,NA,18.913,153480,4.512,0.065
NA,NA,NA,NA,18.032,2.842,NA,NA,NA,18.933,153630,4.617,-0.143
NA,NA,NA,NA,18.052,2.816,NA,NA,NA,18.953,153780,4.598,0.077
NA,NA,NA,NA,18.072,3.004,NA,NA,NA,18.973,153930,4.569,0.001
NA,NA,NA,NA,18.092,2.837,NA,NA,NA,18.992,154090,4.521,-0.361
NA,NA,NA,NA,18.112,2.904,NA,NA,NA,19.012,154240,4.669,0.048
NA,NA,NA,NA,18.132,3.001,NA,NA,NA,19.032,154390,4.693,-0.117
NA,NA,NA,NA,18.152,3.027,NA,NA,NA,19.052,154540,4.621,-0.278
NA,NA,NA,NA,18.172,3.102,NA,NA,NA,19.073,154690,4.67,0.036
NA,NA,NA,NA,18.192,3.05,NA,NA,NA,19.093,154840,4.666,-0.162
NA,NA,NA,NA,18.212,2.933,NA,NA,NA,19.113,155000,4.737,-0.044
NA,NA,NA,NA,18.232,2.93,NA,NA,NA,19.133,155150,4.807,-0.13
NA,NA,NA,NA,18.252,3.036,NA,NA,NA,19.152,155300,4.718,-0.163
NA,NA,NA,NA,18.272,2.683,NA,NA,NA,19.172,155450,4.593,-0.337
NA,NA,NA,NA,18.292,2.636,NA,NA,NA,19.192,155600,4.61,0.038
NA,NA,NA,NA,18.312,3.063,NA,NA,NA,19.212,155750,4.589,-0.045
NA,NA,NA,NA,18.332,2.598,NA,NA,NA,19.233,155910,4.674,-0.19
NA,NA,NA,NA,18.352,2.721,NA,NA,NA,19.253,156060,4.566,-0.242
NA,NA,NA,NA,18.372,2.224,NA,NA,NA,19.273,156210,4.631,-0.111
NA,NA,NA,NA,18.392,2.562,NA,NA,NA,19.293,156360,5.274,-0.243
NA,NA,NA,NA,18.412,2.838,NA,NA,NA,19.312,156510,4.581,-0.291
NA,NA,NA,NA,18.432,2.692,NA,NA,NA,19.332,156660,5.511,-0.354
NA,NA,NA,NA,18.452,2.711,NA,NA,NA,19.352,156820,4.67,-0.053
NA,NA,NA,NA,18.472,3.12,NA,NA,NA,19.372,156970,4.505,-0.009
NA,NA,NA,NA,18.492,2.855,NA,NA,NA,19.392,157120,5.123,-0.244
NA,NA,NA,NA,18.512,3.19,NA,NA,NA,19.413,157270,4.661,-0.068
NA,NA,NA,NA,18.532,3.093,NA,NA,NA,19.433,157420,4.637,-0.007
NA,NA,NA,NA,18.552,3.007,NA,NA,NA,19.453,157570,4.715,-0.121
NA,NA,NA,NA,18.572,3.163,NA,NA,NA,19.473,157730,4.636,-0.093
NA,NA,NA,NA,18.592,2.932,NA,NA,NA,19.492,157880,4.682,-0.035
NA,NA,NA,NA,18.612,2.935,NA,NA,NA,19.532,158180,4.656,0.009
NA,NA,NA,NA,18.632,2.369,NA,NA,NA,19.573,158480,4.97,-0.187
NA,NA,NA,NA,18.652,2.512,NA,NA,NA,19.593,158640,4.798,-0.036
NA,NA,NA,NA,18.672,3.184,NA,NA,NA,19.633,158940,4.695,-0.017
NA,NA,NA,NA,18.692,2.881,NA,NA,NA,19.672,159240,4.738,-0.119
NA,NA,NA,NA,18.712,2.92,NA,NA,NA,19.692,159390,4.641,-0.162
NA,NA,NA,NA,18.732,2.811,NA,NA,NA,19.712,159550,4.476,0.164
NA,NA,NA,NA,18.752,2.932,NA,NA,NA,19.733,159700,4.492,0.061
NA,NA,NA,NA,18.772,2.927,NA,NA,NA,19.753,159850,4.542,-0.001
NA,NA,NA,NA,18.792,3.335,NA,NA,NA,19.773,160000,4.418,-0.045
NA,NA,NA,NA,18.812,3.211,NA,NA,NA,19.793,160150,4.438,0.075
NA,NA,NA,NA,18.832,3.281,NA,NA,NA,19.812,160300,4.518,0.033
NA,NA,NA,NA,18.852,3.366,NA,NA,NA,19.832,160450,4.389,0.585
NA,NA,NA,NA,18.872,3.194,NA,NA,NA,19.852,160610,4.458,0.14
NA,NA,NA,NA,18.892,3.215,NA,NA,NA,19.872,160760,4.372,0.36
NA,NA,NA,NA,18.912,3.342,NA,NA,NA,19.892,160910,4.218,0.28
NA,NA,NA,NA,18.932,3.323,NA,NA,NA,19.913,161060,4.255,0.328
NA,NA,NA,NA,18.952,3.643,NA,NA,NA,19.933,161250,4.35,0.352
NA,NA,NA,NA,18.972,3.768,NA,NA,NA,19.953,161440,4.405,0.25
NA,NA,NA,NA,18.992,3.892,NA,NA,NA,19.973,161640,4.393,0.234
NA,NA,NA,NA,19.012,3.817,NA,NA,NA,19.992,161830,4.317,0.309
NA,NA,NA,NA,19.032,3.848,NA,NA,NA,20.012,162020,4.39,0.311
NA,NA,NA,NA,19.052,3.887,NA,NA,NA,20.032,162210,4.411,0.274
NA,NA,NA,NA,19.072,4.105,NA,NA,NA,20.052,162400,4.531,0.182
NA,NA,NA,NA,19.092,3.486,NA,NA,NA,20.073,162590,4.268,0.378
NA,NA,NA,NA,19.112,3.99,NA,NA,NA,20.093,162780,4.688,-0.284
NA,NA,NA,NA,19.132,3.917,NA,NA,NA,20.113,162970,4.255,0.386
NA,NA,NA,NA,19.152,3.781,NA,NA,NA,20.133,163170,4.305,0.353
NA,NA,NA,NA,19.172,3.732,NA,NA,NA,20.152,163360,4.245,0.332
NA,NA,NA,NA,19.192,3.454,NA,NA,NA,20.172,163550,4.332,0.311
NA,NA,NA,NA,19.212,3.505,NA,NA,NA,20.192,163740,4.513,0.474
NA,NA,NA,NA,19.232,3.657,NA,NA,NA,20.212,163930,4.3,0.441
NA,NA,NA,NA,19.252,3.689,NA,NA,NA,20.233,164120,4.465,0.421
NA,NA,NA,NA,19.272,3.698,NA,NA,NA,20.253,164310,4.338,0.315
NA,NA,NA,NA,19.292,3.594,NA,NA,NA,20.273,164500,4.288,0.425
NA,NA,NA,NA,19.312,3.994,NA,NA,NA,20.293,164700,4.402,0.506
NA,NA,NA,NA,19.332,3.983,NA,NA,NA,20.312,164890,4.155,0.442
NA,NA,NA,NA,19.352,3.86,NA,NA,NA,20.332,165080,4.513,0.413
NA,NA,NA,NA,19.372,3.704,NA,NA,NA,20.372,165460,4.157,0.269
NA,NA,NA,NA,19.392,4.109,NA,NA,NA,20.392,165650,4.213,0.564
NA,NA,NA,NA,19.412,3.939,NA,NA,NA,20.413,165840,4.485,0.104
NA,NA,NA,NA,19.432,3.773,NA,NA,NA,20.433,166030,4.397,0.238
NA,NA,NA,NA,19.452,3.777,NA,NA,NA,20.453,166230,4.399,0.228
NA,NA,NA,NA,19.472,3.663,NA,NA,NA,20.473,166420,4.4,0.069
NA,NA,NA,NA,19.492,3.241,NA,NA,NA,20.492,166610,4.435,0.131
NA,NA,NA,NA,19.532,3.715,NA,NA,NA,20.512,166800,4.312,0.222
NA,NA,NA,NA,19.552,3.821,NA,NA,NA,20.532,166990,4.399,0.133
NA,NA,NA,NA,19.572,4.325,NA,NA,NA,20.552,167180,4.335,0.126
NA,NA,NA,NA,19.592,4.21,NA,NA,NA,20.573,167370,4.344,0.194
NA,NA,NA,NA,19.612,3.659,NA,NA,NA,20.593,167560,4.309,0.156
NA,NA,NA,NA,19.632,3.49,NA,NA,NA,20.613,167760,4.294,0.227
NA,NA,NA,NA,19.652,3.372,NA,NA,NA,20.633,167950,4.274,-0.02
NA,NA,NA,NA,19.672,3.557,NA,NA,NA,20.652,168140,4.156,0.112
NA,NA,NA,NA,19.692,3.614,NA,NA,NA,20.672,168330,4.041,0.325
NA,NA,NA,NA,19.712,3.461,NA,NA,NA,20.692,168520,4.17,0.285
NA,NA,NA,NA,19.732,3.464,NA,NA,NA,20.712,168710,4.157,0.286
NA,NA,NA,NA,19.752,3.419,NA,NA,NA,20.733,168860,3.911,0.442
NA,NA,NA,NA,19.772,3.338,NA,NA,NA,20.753,169000,4.053,0.251
NA,NA,NA,NA,19.792,3.258,NA,NA,NA,20.773,169140,3.989,0.325
NA,NA,NA,NA,19.812,3.342,NA,NA,NA,20.793,169290,4.043,0.352
NA,NA,NA,NA,19.832,3.075,NA,NA,NA,20.812,169430,3.957,0.361
NA,NA,NA,NA,19.852,3.028,NA,NA,NA,20.832,169570,4.021,0.328
NA,NA,NA,NA,19.872,2.938,NA,NA,NA,20.852,169720,4.067,0.2
NA,NA,NA,NA,19.892,2.932,NA,NA,NA,20.872,169860,3.949,0.172
NA,NA,NA,NA,19.912,2.803,NA,NA,NA,20.892,170000,4.056,0.191
NA,NA,NA,NA,19.932,2.828,NA,NA,NA,20.913,170150,4.049,0.26
NA,NA,NA,NA,19.952,2.57,NA,NA,NA,20.933,170290,4.025,0.135
NA,NA,NA,NA,19.972,2.789,NA,NA,NA,20.953,170430,3.97,0.323
NA,NA,NA,NA,19.992,3.104,NA,NA,NA,20.973,170580,4.116,0.248
NA,NA,NA,NA,20.012,2.703,NA,NA,NA,20.992,170720,4.027,0.337
NA,NA,NA,NA,20.032,2.522,NA,NA,NA,21.113,171580,4.021,0.21
NA,NA,NA,NA,20.052,3.056,NA,NA,NA,21.133,171730,4.105,0.335
NA,NA,NA,NA,20.072,3.266,NA,NA,NA,21.152,171870,3.89,0.44
NA,NA,NA,NA,20.092,3.054,NA,NA,NA,21.172,172010,4.017,0.58
NA,NA,NA,NA,20.112,3.319,NA,NA,NA,21.192,172160,3.966,0.524
NA,NA,NA,NA,20.132,2.907,NA,NA,NA,21.212,172300,3.709,0.348
NA,NA,NA,NA,20.152,2.999,NA,NA,NA,21.233,172440,4.022,0.431
NA,NA,NA,NA,20.172,3.033,NA,NA,NA,21.253,172590,4.02,0.455
NA,NA,NA,NA,20.192,2.936,NA,NA,NA,21.273,172730,4.027,0.465
NA,NA,NA,NA,20.212,2.899,NA,NA,NA,21.293,172870,4.063,0.316
NA,NA,NA,NA,20.232,2.782,NA,NA,NA,21.312,173020,4.051,0.62
NA,NA,NA,NA,20.252,2.816,NA,NA,NA,21.332,173160,4.037,0.494
NA,NA,NA,NA,20.272,2.708,NA,NA,NA,21.352,173300,3.597,0.291
NA,NA,NA,NA,20.292,3.033,NA,NA,NA,21.392,173590,4.055,0.26
NA,NA,NA,NA,20.312,2.998,NA,NA,NA,21.413,173740,4.28,-0.06
NA,NA,NA,NA,20.332,3.043,NA,NA,NA,21.433,173880,4.355,0.098
NA,NA,NA,NA,20.352,3.092,NA,NA,NA,21.453,174020,4.384,-0.122
NA,NA,NA,NA,20.392,3.109,NA,NA,NA,21.473,174170,4.347,-0.045
NA,NA,NA,NA,20.432,3.223,NA,NA,NA,21.492,174310,4.338,-0.078
NA,NA,NA,NA,20.452,3.406,NA,NA,NA,21.512,174450,4.396,-0.048
NA,NA,NA,NA,20.472,3.35,NA,NA,NA,21.532,174600,4.38,-0.135
NA,NA,NA,NA,20.492,3.375,NA,NA,NA,21.552,174740,4.368,0.064
NA,NA,NA,NA,20.512,3.244,NA,NA,NA,21.573,174880,4.333,0.083
NA,NA,NA,NA,20.532,3.179,NA,NA,NA,21.593,175030,4.192,0.221
NA,NA,NA,NA,20.552,3.326,NA,NA,NA,21.613,175170,4.343,0.014
NA,NA,NA,NA,20.572,3.256,NA,NA,NA,21.633,175310,4.344,0.12
NA,NA,NA,NA,20.592,3.119,NA,NA,NA,21.652,175460,4.308,0.249
NA,NA,NA,NA,20.612,2.94,NA,NA,NA,21.692,175740,4.268,0.207
NA,NA,NA,NA,20.632,2.902,NA,NA,NA,21.712,175890,4.204,0.321
NA,NA,NA,NA,20.652,2.913,NA,NA,NA,21.733,176030,4.289,0.219
NA,NA,NA,NA,20.672,2.748,NA,NA,NA,21.753,176180,4.24,0.419
NA,NA,NA,NA,20.692,2.842,NA,NA,NA,21.773,176320,4.255,0.209
NA,NA,NA,NA,20.712,2.748,NA,NA,NA,21.793,176460,4.194,0.409
NA,NA,NA,NA,20.732,2.68,NA,NA,NA,21.832,176750,4.27,0.381
NA,NA,NA,NA,20.752,2.601,NA,NA,NA,21.852,176890,4.363,0.152
NA,NA,NA,NA,20.772,2.581,NA,NA,NA,21.872,177040,4.24,0.212
NA,NA,NA,NA,20.792,2.799,NA,NA,NA,21.892,177180,4.31,0.23
NA,NA,NA,NA,20.812,2.607,NA,NA,NA,21.913,177320,4.311,-0.039
NA,NA,NA,NA,20.832,2.782,NA,NA,NA,21.933,177470,4.432,-0.083
NA,NA,NA,NA,20.852,2.776,NA,NA,NA,21.953,177610,4.34,0.133
NA,NA,NA,NA,20.892,2.995,NA,NA,NA,21.973,177750,4.511,-0.047
NA,NA,NA,NA,20.912,2.886,NA,NA,NA,21.992,177900,4.324,0.11
NA,NA,NA,NA,20.932,2.67,NA,NA,NA,22.012,178040,4.494,-0.046
NA,NA,NA,NA,20.952,2.831,NA,NA,NA,22.032,178180,4.422,-0.006
NA,NA,NA,NA,20.972,2.89,NA,NA,NA,22.052,178330,4.327,-0.311
NA,NA,NA,NA,20.992,2.925,NA,NA,NA,22.073,178470,4.012,0.528
NA,NA,NA,NA,21.112,2.817,NA,NA,NA,22.093,178620,3.921,0.344
NA,NA,NA,NA,21.132,2.736,NA,NA,NA,22.113,178760,4.097,0.359
NA,NA,NA,NA,21.152,2.557,NA,NA,NA,22.133,178900,3.88,0.22
NA,NA,NA,NA,21.172,2.702,NA,NA,NA,22.152,179050,4.01,0.353
NA,NA,NA,NA,21.192,2.699,NA,NA,NA,22.172,179190,3.998,0.331
NA,NA,NA,NA,21.212,2.738,NA,NA,NA,22.192,179330,3.943,0.238
NA,NA,NA,NA,21.232,2.768,NA,NA,NA,22.212,179480,3.972,0.334
NA,NA,NA,NA,21.252,2.905,NA,NA,NA,22.233,179620,3.894,0.447
NA,NA,NA,NA,21.272,3.064,NA,NA,NA,22.253,179760,4.061,0.345
NA,NA,NA,NA,21.292,2.936,NA,NA,NA,22.273,179910,4.035,0.351
NA,NA,NA,NA,21.312,3.053,NA,NA,NA,22.293,180050,3.953,0.505
NA,NA,NA,NA,21.332,2.973,NA,NA,NA,22.312,180190,3.905,0.453
NA,NA,NA,NA,21.352,3.083,NA,NA,NA,22.332,180340,3.998,0.251
NA,NA,NA,NA,21.372,3.07,NA,NA,NA,22.352,180480,4.034,0.431
NA,NA,NA,NA,21.392,3.212,NA,NA,NA,22.372,180620,4.056,0.42
NA,NA,NA,NA,21.412,3.138,NA,NA,NA,22.392,180770,3.904,0.421
NA,NA,NA,NA,21.432,3.16,NA,NA,NA,22.413,180910,4.444,0.1
NA,NA,NA,NA,21.452,3.231,NA,NA,NA,22.433,181230,4.447,0.125
NA,NA,NA,NA,21.472,3.408,NA,NA,NA,22.453,181540,4.407,-0.003
NA,NA,NA,NA,21.492,3.464,NA,NA,NA,22.473,181860,4.464,0.014
NA,NA,NA,NA,21.512,3.311,NA,NA,NA,22.492,182170,4.573,-0.119
NA,NA,NA,NA,21.532,3.494,NA,NA,NA,22.512,182490,4.392,-0.007
NA,NA,NA,NA,21.552,3.242,NA,NA,NA,22.532,182800,4.419,0.024
NA,NA,NA,NA,21.572,3.44,NA,NA,NA,22.552,183120,4.42,-0.025
NA,NA,NA,NA,21.592,3.333,NA,NA,NA,22.573,183430,4.355,0.059
NA,NA,NA,NA,21.612,3.452,NA,NA,NA,22.593,183750,4.47,0.046
NA,NA,NA,NA,21.632,3.353,NA,NA,NA,22.613,184060,4.438,-0.049
NA,NA,NA,NA,21.652,3.323,NA,NA,NA,22.633,184380,4.599,-0.16
NA,NA,NA,NA,21.672,3.226,NA,NA,NA,22.672,185010,4.435,0.077
NA,NA,NA,NA,21.692,3.29,NA,NA,NA,22.692,185320,4.288,0.127
NA,NA,NA,NA,21.712,3.238,NA,NA,NA,22.712,185640,4.367,-0.151
NA,NA,NA,NA,21.732,3.196,NA,NA,NA,22.733,185960,4.077,0.514
NA,NA,NA,NA,21.752,3.296,NA,NA,NA,22.773,186590,4.072,0.324
NA,NA,NA,NA,21.772,3.25,NA,NA,NA,22.793,186900,4.22,0.083
NA,NA,NA,NA,21.792,3.148,NA,NA,NA,22.812,187220,4.001,0.197
NA,NA,NA,NA,21.812,3.271,NA,NA,NA,22.832,187530,4.178,0.068
NA,NA,NA,NA,21.832,3.273,NA,NA,NA,22.852,187850,3.844,0.446
NA,NA,NA,NA,21.852,3.242,NA,NA,NA,22.872,188160,4.01,0.339
NA,NA,NA,NA,21.872,3.389,NA,NA,NA,22.892,188480,3.852,0.403
NA,NA,NA,NA,21.892,3.355,NA,NA,NA,22.913,188790,3.937,0.319
NA,NA,NA,NA,21.912,3.353,NA,NA,NA,22.933,189110,3.903,0.499
NA,NA,NA,NA,21.932,3.403,NA,NA,NA,22.953,189420,3.786,0.738
NA,NA,NA,NA,21.952,3.526,NA,NA,NA,22.973,189740,3.766,0.454
NA,NA,NA,NA,21.972,3.326,NA,NA,NA,22.992,190050,3.967,0.037
NA,NA,NA,NA,21.992,3.336,NA,NA,NA,23.012,190370,3.755,0.597
NA,NA,NA,NA,22.012,3.181,NA,NA,NA,23.032,190680,3.541,0.828
NA,NA,NA,NA,22.032,3.334,NA,NA,NA,23.052,191000,3.594,0.785
NA,NA,NA,NA,22.052,3.105,NA,NA,NA,23.073,191310,3.603,0.994
NA,NA,NA,NA,22.072,3.077,NA,NA,NA,23.093,191630,3.584,0.896
NA,NA,NA,NA,22.092,2.967,NA,NA,NA,23.113,191940,3.652,0.499
NA,NA,NA,NA,22.112,3.031,NA,NA,NA,23.133,192260,3.585,0.696
NA,NA,NA,NA,22.132,2.915,NA,NA,NA,23.152,192580,3.772,0.56
NA,NA,NA,NA,22.152,2.852,NA,NA,NA,23.172,192890,3.549,0.62
NA,NA,NA,NA,22.172,2.889,NA,NA,NA,23.192,193210,3.647,0.626
NA,NA,NA,NA,22.192,3.011,NA,NA,NA,23.212,193520,3.621,0.638
NA,NA,NA,NA,22.212,3.065,NA,NA,NA,23.253,194150,3.443,0.537
NA,NA,NA,NA,22.232,2.834,NA,NA,NA,23.273,194470,3.482,0.672
NA,NA,NA,NA,22.252,3.087,NA,NA,NA,23.293,194780,3.269,0.687
NA,NA,NA,NA,22.272,2.892,NA,NA,NA,23.312,195100,3.517,0.606
NA,NA,NA,NA,22.292,2.969,NA,NA,NA,23.332,195410,3.189,0.751
NA,NA,NA,NA,22.312,3.105,NA,NA,NA,23.352,195730,3.422,0.606
NA,NA,NA,NA,22.332,2.902,NA,NA,NA,23.372,196040,3.339,0.703
NA,NA,NA,NA,22.352,3.053,NA,NA,NA,23.392,196360,3.388,0.668
NA,NA,NA,NA,22.372,3.051,NA,NA,NA,23.413,196670,3.331,0.715
NA,NA,NA,NA,22.392,3.25,NA,NA,NA,23.433,196990,3.297,0.696
NA,NA,NA,NA,22.412,3.341,NA,NA,NA,23.453,197300,2.872,0.437
NA,NA,NA,NA,22.432,3.595,NA,NA,NA,23.473,197620,3.23,0.58
NA,NA,NA,NA,22.452,3.623,NA,NA,NA,23.492,197930,3.311,0.66
NA,NA,NA,NA,22.472,3.537,NA,NA,NA,23.532,198560,3.294,0.655
NA,NA,NA,NA,22.492,3.47,NA,NA,NA,23.552,198880,3.228,0.72
NA,NA,NA,NA,22.512,3.415,NA,NA,NA,23.573,199190,3.297,0.801
NA,NA,NA,NA,22.532,3.751,NA,NA,NA,23.613,199830,3.341,0.683
NA,NA,NA,NA,22.552,3.71,NA,NA,NA,23.633,200140,3.256,0.754
NA,NA,NA,NA,22.572,3.5,NA,NA,NA,23.652,200460,3.281,0.685
NA,NA,NA,NA,22.592,3.583,NA,NA,NA,23.672,200770,3.269,0.76
NA,NA,NA,NA,22.612,3.398,NA,NA,NA,23.692,201090,3.294,0.991
NA,NA,NA,NA,22.632,3.759,NA,NA,NA,23.712,201400,3.571,0.985
NA,NA,NA,NA,22.652,3.54,NA,NA,NA,23.733,201720,3.135,0.911
NA,NA,NA,NA,22.672,3.541,NA,NA,NA,23.753,202030,2.877,0.803
NA,NA,NA,NA,22.692,3.405,NA,NA,NA,23.773,202350,3.28,0.953
NA,NA,NA,NA,22.712,3.652,NA,NA,NA,23.793,202660,3.214,0.92
NA,NA,NA,NA,22.732,3.448,NA,NA,NA,23.812,202980,3.345,0.806
NA,NA,NA,NA,22.752,2.974,NA,NA,NA,23.832,203290,3.365,0.732
NA,NA,NA,NA,22.772,3.047,NA,NA,NA,23.852,203610,3.674,0.58
NA,NA,NA,NA,22.792,2.702,NA,NA,NA,23.872,203920,3.66,0.759
NA,NA,NA,NA,22.812,2.769,NA,NA,NA,23.892,204240,3.734,0.562
NA,NA,NA,NA,22.832,2.756,NA,NA,NA,23.913,204550,3.753,0.439
NA,NA,NA,NA,22.852,2.746,NA,NA,NA,23.933,204870,3.691,0.397
NA,NA,NA,NA,22.872,2.625,NA,NA,NA,23.953,205180,3.562,0.552
NA,NA,NA,NA,22.892,2.595,NA,NA,NA,23.973,205500,3.61,0.328
NA,NA,NA,NA,22.912,2.589,NA,NA,NA,23.992,205810,3.77,0.625
NA,NA,NA,NA,22.932,2.75,NA,NA,NA,24.012,206130,3.723,0.586
NA,NA,NA,NA,22.952,2.404,NA,NA,NA,24.032,206450,3.668,0.338
NA,NA,NA,NA,22.972,2.74,NA,NA,NA,24.052,206760,3.609,0.565
NA,NA,NA,NA,22.992,2.669,NA,NA,NA,24.073,207080,3.654,0.638
NA,NA,NA,NA,23.012,2.625,NA,NA,NA,24.093,207390,3.435,0.646
NA,NA,NA,NA,23.032,2.565,NA,NA,NA,24.113,207710,3.304,0.54
NA,NA,NA,NA,23.052,2.453,NA,NA,NA,24.133,208020,3.439,0.606
NA,NA,NA,NA,23.072,2.507,NA,NA,NA,24.152,208340,3.446,0.637
NA,NA,NA,NA,23.092,2.38,NA,NA,NA,24.172,208650,3.419,0.597
NA,NA,NA,NA,23.112,2.556,NA,NA,NA,24.192,208970,3.109,0.595
NA,NA,NA,NA,23.132,2.64,NA,NA,NA,24.212,209280,3.152,0.552
NA,NA,NA,NA,23.152,2.421,NA,NA,NA,24.233,209600,3.171,0.731
NA,NA,NA,NA,23.172,2.4,NA,NA,NA,24.253,209910,3.134,0.293
NA,NA,NA,NA,23.192,2.457,NA,NA,NA,24.273,210230,3.117,0.477
NA,NA,NA,NA,23.212,2.342,NA,NA,NA,24.293,210540,3.139,0.572
NA,NA,NA,NA,23.232,2.372,NA,NA,NA,24.312,210860,3.191,0.597
NA,NA,NA,NA,23.252,2.508,NA,NA,NA,24.332,211170,3.19,0.475
NA,NA,NA,NA,23.272,2.278,NA,NA,NA,24.352,211490,3.185,0.514
NA,NA,NA,NA,23.292,2.092,NA,NA,NA,24.372,211800,3.194,0.391
NA,NA,NA,NA,23.312,2.136,NA,NA,NA,24.392,212120,3.134,0.508
NA,NA,NA,NA,23.332,2.15,NA,NA,NA,24.413,212430,3.216,0.579
NA,NA,NA,NA,23.352,2.145,NA,NA,NA,24.433,212750,3.176,0.581
NA,NA,NA,NA,23.372,2.204,NA,NA,NA,24.453,213070,3.23,0.583
NA,NA,NA,NA,23.392,2.04,NA,NA,NA,24.473,213380,2.976,0.734
NA,NA,NA,NA,23.412,2.085,NA,NA,NA,24.492,213700,3.127,0.669
NA,NA,NA,NA,23.432,2.066,NA,NA,NA,24.512,214010,3.118,0.789
NA,NA,NA,NA,23.452,2.018,NA,NA,NA,24.532,214330,3.075,0.65
NA,NA,NA,NA,23.472,1.943,NA,NA,NA,24.552,214640,3.383,0.869
NA,NA,NA,NA,23.492,2.11,NA,NA,NA,24.573,214960,3.472,0.831
NA,NA,NA,NA,23.512,1.996,NA,NA,NA,24.593,215270,3.348,0.766
NA,NA,NA,NA,23.532,2.019,NA,NA,NA,24.613,215590,3.479,0.713
NA,NA,NA,NA,23.552,2.012,NA,NA,NA,24.633,215900,3.461,0.767
NA,NA,NA,NA,23.572,2.002,NA,NA,NA,24.652,216220,3.448,0.659
NA,NA,NA,NA,23.592,2.027,NA,NA,NA,24.672,216530,3.348,0.808
NA,NA,NA,NA,23.612,1.975,NA,NA,NA,24.692,216850,3.474,0.784
NA,NA,NA,NA,23.632,1.869,NA,NA,NA,24.712,217160,3.666,0.554
NA,NA,NA,NA,23.652,2.14,NA,NA,NA,24.733,217480,3.604,0.625
NA,NA,NA,NA,23.672,2.023,NA,NA,NA,24.753,217790,3.563,0.719
NA,NA,NA,NA,23.692,2.055,NA,NA,NA,24.773,218110,3.712,0.53
NA,NA,NA,NA,23.712,1.951,NA,NA,NA,24.793,218420,3.907,0.47
NA,NA,NA,NA,23.732,2.163,NA,NA,NA,24.812,218740,3.764,0.511
NA,NA,NA,NA,23.752,2.187,NA,NA,NA,24.832,219050,3.86,0.473
NA,NA,NA,NA,23.772,2.149,NA,NA,NA,24.852,219370,3.793,0.495
NA,NA,NA,NA,23.792,2.049,NA,NA,NA,24.872,219690,3.958,0.413
NA,NA,NA,NA,23.812,2.138,NA,NA,NA,24.892,220000,4.043,0.504
NA,NA,NA,NA,23.832,2.201,NA,NA,NA,24.913,220320,3.844,0.459
NA,NA,NA,NA,23.852,2.245,NA,NA,NA,24.933,220690,3.76,0.491
NA,NA,NA,NA,23.872,2.462,NA,NA,NA,24.953,221060,3.46,0.547
NA,NA,NA,NA,23.892,2.474,NA,NA,NA,24.973,221430,3.648,0.677
NA,NA,NA,NA,23.912,2.524,NA,NA,NA,24.992,221800,4.434,0.051
NA,NA,NA,NA,23.932,2.585,NA,NA,NA,25.012,222180,4.507,-0.069
NA,NA,NA,NA,23.952,2.564,NA,NA,NA,25.032,222550,4.374,0.141
NA,NA,NA,NA,23.972,2.449,NA,NA,NA,25.052,222920,4.389,0.275
NA,NA,NA,NA,23.992,2.546,NA,NA,NA,25.073,223290,3.862,0.345
NA,NA,NA,NA,24.012,2.383,NA,NA,NA,25.093,223670,4.186,0.45
NA,NA,NA,NA,24.032,2.454,NA,NA,NA,25.113,224040,4.352,0.479
NA,NA,NA,NA,24.052,2.439,NA,NA,NA,25.133,224410,4.364,0.343
NA,NA,NA,NA,24.072,2.433,NA,NA,NA,25.152,224780,4.39,0.329
NA,NA,NA,NA,24.092,2.274,NA,NA,NA,25.172,225150,4.246,0.413
NA,NA,NA,NA,24.112,2.249,NA,NA,NA,25.192,225530,4.28,0.448
NA,NA,NA,NA,24.132,2.243,NA,NA,NA,25.212,225900,4.326,0.305
NA,NA,NA,NA,24.152,2.175,NA,NA,NA,25.233,226270,4.36,0.322
NA,NA,NA,NA,24.172,2.175,NA,NA,NA,25.253,226640,4.41,-0.217
NA,NA,NA,NA,24.192,2.119,NA,NA,NA,25.273,227020,4.181,0.252
NA,NA,NA,NA,24.212,2.208,NA,NA,NA,25.293,227390,4.608,0.069
NA,NA,NA,NA,24.232,2.049,NA,NA,NA,25.312,227760,4.458,0.085
NA,NA,NA,NA,24.252,2.106,NA,NA,NA,25.352,228500,4.329,-0.177
NA,NA,NA,NA,24.272,2.036,NA,NA,NA,25.372,228880,4.457,0.108
NA,NA,NA,NA,24.292,1.942,NA,NA,NA,25.392,229250,4.468,0.014
NA,NA,NA,NA,24.312,2.057,NA,NA,NA,25.413,229620,4.62,-0.018
NA,NA,NA,NA,24.332,2.182,NA,NA,NA,25.433,229990,4.518,-0.124
NA,NA,NA,NA,24.352,2.011,NA,NA,NA,25.453,230360,4.505,-0.197
NA,NA,NA,NA,24.372,2.051,NA,NA,NA,25.473,230740,4.364,0.028
NA,NA,NA,NA,24.392,2.13,NA,NA,NA,25.492,231110,4.339,-0.037
NA,NA,NA,NA,24.412,2.178,NA,NA,NA,25.512,231480,3.925,0.508
