year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),d18O (missing),d18O (missing),d18O (missing),d18O (missing),d13C (missing),d13C (missing),d13C (missing),d13C (missing),d18O (missing)
-88776,90726,-88776,90726,-88776,90726,-88776,90726,-70,2020,-4.2,-4.2,-4.2,-4.2,-6.45,-6.45,-6.45,-6.45,-3.56
-88884,90834,-88884,90834,-88884,90834,-88884,90834,-110,2060,-4.22,-4.22,-4.22,-4.22,-6.27,-6.27,-6.27,-6.27,-3.46
-88991,90941,-88991,90941,-88991,90941,-88991,90941,-160,2110,-3.97,-3.97,-3.97,-3.97,-6.14,-6.14,-6.14,-6.14,-3.41
-89099,91049,-89099,91049,-89099,91049,-89099,91049,-200,2150,-4.57,-4.57,-4.57,-4.57,-6.4,-6.4,-6.4,-6.4,-3.7
-89206,91156,-89206,91156,-89206,91156,-89206,91156,-240,2190,-4.23,-4.23,-4.23,-4.23,-6.56,-6.56,-6.56,-6.56,-3.46
-89314,91264,-89314,91264,-89314,91264,-89314,91264,-290,2240,-4.36,-4.36,-4.36,-4.36,-6.48,-6.48,-6.48,-6.48,-3.53
-89421,91371,-89421,91371,-89421,91371,-89421,91371,-330,2280,-4.51,-4.51,-4.51,-4.51,-6.45,-6.45,-6.45,-6.45,-3.45
-89529,91479,-89529,91479,-89529,91479,-89529,91479,-380,2330,-4.33,-4.33,-4.33,-4.33,-6.42,-6.42,-6.42,-6.42,-3.53
-89636,91586,-89636,91586,-89636,91586,-89636,91586,-420,2370,-4.26,-4.26,-4.26,-4.26,-6.45,-6.45,-6.45,-6.45,-3.46
-89851,91801,-89851,91801,-89851,91801,-89851,91801,-460,2410,-4.45,-4.45,-4.45,-4.45,-6.49,-6.49,-6.49,-6.49,-3.65
-89959,91909,-89959,91909,-89959,91909,-89959,91909,-500,2450,-4.5,-4.5,-4.5,-4.5,-6.69,-6.69,-6.69,-6.69,-3.82
-90066,92016,-90066,92016,-90066,92016,-90066,92016,-540,2490,-4.55,-4.55,-4.55,-4.55,-6.72,-6.72,-6.72,-6.72,-3.68
-90174,92124,-90174,92124,-90174,92124,-90174,92124,-580,2530,-4.33,-4.33,-4.33,-4.33,-6.78,-6.78,-6.78,-6.78,-3.88
-90281,92231,-90281,92231,-90281,92231,-90281,92231,-620,2570,-4.23,-4.23,-4.23,-4.23,-6.55,-6.55,-6.55,-6.55,-3.2
-90389,92339,-90389,92339,-90389,92339,-90389,92339,-660,2610,-4.32,-4.32,-4.32,-4.32,-6.93,-6.93,-6.93,-6.93,-3.54
-90496,92446,-90496,92446,-90496,92446,-90496,92446,-700,2650,-4.57,-4.57,-4.57,-4.57,-7.16,-7.16,-7.16,-7.16,-3.5
-90604,92554,-90604,92554,-90604,92554,-90604,92554,-740,2690,-3.75,-3.75,-3.75,-3.75,-7.21,-7.21,-7.21,-7.21,-3.65
-90711,92661,-90711,92661,-90711,92661,-90711,92661,-780,2730,-4.28,-4.28,-4.28,-4.28,-5.81,-5.81,-5.81,-5.81,-3.65
-90819,92769,-90819,92769,-90819,92769,-90819,92769,-820,2770,-4.47,-4.47,-4.47,-4.47,-6.29,-6.29,-6.29,-6.29,-3.48
-90992,92942,-90992,92942,-90992,92942,-90992,92942,-860,2810,-4.13,-4.13,-4.13,-4.13,-6.06,-6.06,-6.06,-6.06,-3.7
-91184,93134,-91184,93134,-91184,93134,-91184,93134,-900,2850,-3.67,-3.67,-3.67,-3.67,-5.73,-5.73,-5.73,-5.73,-3.76
-91375,93325,-91375,93325,-91375,93325,-91375,93325,-940,2890,-3.84,-3.84,-3.84,-3.84,-5.75,-5.75,-5.75,-5.75,-3.43
-91567,93517,-91567,93517,-91567,93517,-91567,93517,-980,2930,-3.61,-3.61,-3.61,-3.61,-5.64,-5.64,-5.64,-5.64,-3.29
-91758,93708,-91758,93708,-91758,93708,-91758,93708,-1020,2970,-4.13,-4.13,-4.13,-4.13,-6.02,-6.02,-6.02,-6.02,-3.38
-91949,93899,-91949,93899,-91949,93899,-91949,93899,-1070,3020,-3.89,-3.89,-3.89,-3.89,-6.27,-6.27,-6.27,-6.27,-3.86
-92141,94091,-92141,94091,-92141,94091,-92141,94091,-1110,3060,-3.82,-3.82,-3.82,-3.82,-5.59,-5.59,-5.59,-5.59,-3.63
-92332,94282,-92332,94282,-92332,94282,-92332,94282,-1150,3100,-3.49,-3.49,-3.49,-3.49,-5.51,-5.51,-5.51,-5.51,-3.45
-92524,94474,-92524,94474,-92524,94474,-92524,94474,-1190,3140,-3.46,-3.46,-3.46,-3.46,-5.85,-5.85,-5.85,-5.85,-3.61
-92715,94665,-92715,94665,-92715,94665,-92715,94665,-1230,3180,-3.61,-3.61,-3.61,-3.61,-6.26,-6.26,-6.26,-6.26,-3.1
-92906,94856,-92906,94856,-92906,94856,-92906,94856,-1270,3220,-3.53,-3.53,-3.53,-3.53,-5.96,-5.96,-5.96,-5.96,-3.5
-93098,95048,-93098,95048,-93098,95048,-93098,95048,-1310,3260,-2.7,-2.7,-2.7,-2.7,-4.59,-4.59,-4.59,-4.59,-3.24
-93289,95239,-93289,95239,-93289,95239,-93289,95239,-1350,3300,-3.41,-3.41,-3.41,-3.41,-6.22,-6.22,-6.22,-6.22,-3.86
-93481,95431,-93481,95431,-93481,95431,-93481,95431,-1390,3340,-3.15,-3.15,-3.15,-3.15,-5.74,-5.74,-5.74,-5.74,-3.39
-93672,95622,-93672,95622,-93672,95622,-93672,95622,-1430,3380,-3.36,-3.36,-3.36,-3.36,-6.43,-6.43,-6.43,-6.43,-3.44
-93863,95813,-93863,95813,-93863,95813,-93863,95813,-1470,3420,-3.06,-3.06,-3.06,-3.06,-6.13,-6.13,-6.13,-6.13,-3.25
-94055,96005,-94055,96005,-94055,96005,-94055,96005,-1510,3460,-3.16,-3.16,-3.16,-3.16,-6.29,-6.29,-6.29,-6.29,-3.25
-94246,96196,-94246,96196,-94246,96196,-94246,96196,-1550,3500,-3.02,-3.02,-3.02,-3.02,-6.01,-6.01,-6.01,-6.01,-3.38
-94438,96388,-94438,96388,-94438,96388,-94438,96388,-1590,3540,-2.73,-2.73,-2.73,-2.73,-5.85,-5.85,-5.85,-5.85,-3.41
-94629,96579,-94629,96579,-94629,96579,-94629,96579,-1630,3580,-2.56,-2.56,-2.56,-2.56,-5.77,-5.77,-5.77,-5.77,-3.65
-94820,96770,-94820,96770,-94820,96770,-94820,96770,-1670,3620,-2.66,-2.66,-2.66,-2.66,-5.72,-5.72,-5.72,-5.72,-3.34
-95012,96962,-95012,96962,-95012,96962,-95012,96962,-1720,3670,-3.24,-3.24,-3.24,-3.24,-6.12,-6.12,-6.12,-6.12,-3.14
-95203,97153,-95203,97153,-95203,97153,-95203,97153,-1760,3710,-2.64,-2.64,-2.64,-2.64,-5.48,-5.48,-5.48,-5.48,-3.07
-95395,97345,-95395,97345,-95395,97345,-95395,97345,-1800,3750,-2.46,-2.46,-2.46,-2.46,-5.52,-5.52,-5.52,-5.52,-3.13
-95586,97536,-95586,97536,-95586,97536,-95586,97536,-1840,3790,-2.06,-2.06,-2.06,-2.06,-5.28,-5.28,-5.28,-5.28,-3.14
-95777,97727,-95777,97727,-95777,97727,-95777,97727,-1880,3830,-2.18,-2.18,-2.18,-2.18,-5.73,-5.73,-5.73,-5.73,-3.19
-95969,97919,-95969,97919,-95969,97919,-95969,97919,-1920,3870,-1.79,-1.79,-1.79,-1.79,-5.6,-5.6,-5.6,-5.6,-3.39
-96160,98110,-96160,98110,-96160,98110,-96160,98110,-1960,3910,-2.83,-2.83,-2.83,-2.83,-5.95,-5.95,-5.95,-5.95,-3.61
-96352,98302,-96352,98302,-96352,98302,-96352,98302,-2010,3960,-2.19,-2.19,-2.19,-2.19,-5.43,-5.43,-5.43,-5.43,-3.16
-96543,98493,-96543,98493,-96543,98493,-96543,98493,-2060,4010,-2.06,-2.06,-2.06,-2.06,-5.12,-5.12,-5.12,-5.12,-3.4
-96734,98684,-96734,98684,-96734,98684,-96734,98684,-2110,4060,-1.96,-1.96,-1.96,-1.96,-5.23,-5.23,-5.23,-5.23,-3.43
-96926,98876,-96926,98876,-96926,98876,-96926,98876,-2170,4120,-1.5,-1.5,-1.5,-1.5,-4.75,-4.75,-4.75,-4.75,-3.21
-97117,99067,-97117,99067,-97117,99067,-97117,99067,-2220,4170,-1.81,-1.81,-1.81,-1.81,-5.3,-5.3,-5.3,-5.3,-3.42
-97309,99259,-97309,99259,-97309,99259,-97309,99259,-2270,4220,-1.88,-1.88,-1.88,-1.88,-6.38,-6.38,-6.38,-6.38,-3.46
-97500,99450,-97500,99450,-97500,99450,-97500,99450,-2320,4270,-2.29,-2.29,-2.29,-2.29,-6.23,-6.23,-6.23,-6.23,-3.33
-97692,99642,-97692,99642,-97692,99642,-97692,99642,-2370,4320,-1.49,-1.49,-1.49,-1.49,-5.77,-5.77,-5.77,-5.77,-3.17
-97883,99833,-97883,99833,-97883,99833,-97883,99833,-2420,4370,-1.54,-1.54,-1.54,-1.54,-5.58,-5.58,-5.58,-5.58,-3.38
-98074,100024,-98074,100024,-98074,100024,-98074,100024,-2470,4420,-2.03,-2.03,-2.03,-2.03,-5.48,-5.48,-5.48,-5.48,-3.47
-98266,100216,-98266,100216,-98266,100216,-98266,100216,-2530,4480,-1.78,-1.78,-1.78,-1.78,-5.49,-5.49,-5.49,-5.49,-3.34
-98457,100407,-98457,100407,-98457,100407,-98457,100407,-2580,4530,-1.49,-1.49,-1.49,-1.49,-5.94,-5.94,-5.94,-5.94,-3.13
-98649,100599,-98649,100599,-98649,100599,-98649,100599,-2630,4580,-1.57,-1.57,-1.57,-1.57,-5.26,-5.26,-5.26,-5.26,-2.88
-98840,100790,-98840,100790,-98840,100790,-98840,100790,-2680,4630,-1.66,-1.66,-1.66,-1.66,-5.76,-5.76,-5.76,-5.76,-3.2
-99031,100981,-99031,100981,-99031,100981,-99031,100981,-2730,4680,-1.06,-1.06,-1.06,-1.06,-5.68,-5.68,-5.68,-5.68,-3.02
-99223,101173,-99223,101173,-99223,101173,-99223,101173,-2780,4730,-1.6,-1.6,-1.6,-1.6,-5.45,-5.45,-5.45,-5.45,-2.86
-99414,101364,-99414,101364,-99414,101364,-99414,101364,-2830,4780,-0.94,-0.94,-0.94,-0.94,-5.23,-5.23,-5.23,-5.23,-3.24
-99606,101556,-99606,101556,-99606,101556,-99606,101556,-2890,4840,-0.96,-0.96,-0.96,-0.96,-5.68,-5.68,-5.68,-5.68,-3.24
-99797,101747,-99797,101747,-99797,101747,-99797,101747,-2940,4890,-1.23,-1.23,-1.23,-1.23,-5.32,-5.32,-5.32,-5.32,-3.08
-99988,101938,-99988,101938,-99988,101938,-99988,101938,-2990,4940,-1.09,-1.09,-1.09,-1.09,-5.49,-5.49,-5.49,-5.49,-3.14
-100180,102130,-100180,102130,-100180,102130,-100180,102130,-3040,4990,-1.09,-1.09,-1.09,-1.09,-5.55,-5.55,-5.55,-5.55,-3.24
-100371,102321,-100371,102321,-100371,102321,-100371,102321,-3090,5040,-0.67,-0.67,-0.67,-0.67,-5.61,-5.61,-5.61,-5.61,-2.96
-100563,102513,-100563,102513,-100563,102513,-100563,102513,-3140,5090,-0.27,-0.27,-0.27,-0.27,-4.25,-4.25,-4.25,-4.25,-2.74
-100754,102704,-100754,102704,-100754,102704,-100754,102704,-3200,5150,-1.17,-1.17,-1.17,-1.17,-5.16,-5.16,-5.16,-5.16,-3.26
-100945,102895,-100945,102895,-100945,102895,-100945,102895,-3250,5200,-0.5,-0.5,-0.5,-0.5,-5.45,-5.45,-5.45,-5.45,-2.94
-101137,103087,-101137,103087,-101137,103087,-101137,103087,-3260,5210,-1.01,-1.01,-1.01,-1.01,-5.46,-5.46,-5.46,-5.46,-2.9
-101328,103278,-101328,103278,-101328,103278,-101328,103278,-3270,5220,-0.98,-0.98,-0.98,-0.98,-5.39,-5.39,-5.39,-5.39,-3.04
-101520,103470,-101520,103470,-101520,103470,-101520,103470,-3280,5230,-0.73,-0.73,-0.73,-0.73,-4.95,-4.95,-4.95,-4.95,-3.02
-101711,103661,-101711,103661,-101711,103661,-101711,103661,-3290,5240,-1.03,-1.03,-1.03,-1.03,-5.26,-5.26,-5.26,-5.26,-3.18
-101875,103825,-101875,103825,-101875,103825,-101875,103825,-3300,5250,-0.48,-0.48,-0.48,-0.48,-5.01,-5.01,-5.01,-5.01,-3.25
-102031,103981,-102031,103981,-102031,103981,-102031,103981,-3310,5260,-1.3,-1.3,-1.3,-1.3,-5.24,-5.24,-5.24,-5.24,-2.47
-102186,104136,-102186,104136,-102186,104136,-102186,104136,-3330,5280,-0.35,-0.35,-0.35,-0.35,-4.65,-4.65,-4.65,-4.65,-3.06
-102342,104292,-102342,104292,-102342,104292,-102342,104292,-3340,5290,-1.11,-1.11,-1.11,-1.11,-5.75,-5.75,-5.75,-5.75,-2.86
-102498,104448,-102498,104448,-102498,104448,-102498,104448,-3350,5300,-0.39,-0.39,-0.39,-0.39,-4.84,-4.84,-4.84,-4.84,-3.03
-102653,104603,-102653,104603,-102653,104603,-102653,104603,-3360,5310,-0.77,-0.77,-0.77,-0.77,-5.42,-5.42,-5.42,-5.42,-2.88
-102809,104759,-102809,104759,-102809,104759,-102809,104759,-3370,5320,-1.02,-1.02,-1.02,-1.02,-5.79,-5.79,-5.79,-5.79,-3
-102964,104914,-102964,104914,-102964,104914,-102964,104914,-3380,5330,-1.06,-1.06,-1.06,-1.06,-5.78,-5.78,-5.78,-5.78,-2.64
-103120,105070,-103120,105070,-103120,105070,-103120,105070,-3390,5340,-1.08,-1.08,-1.08,-1.08,-4.98,-4.98,-4.98,-4.98,-2.97
-103276,105226,-103276,105226,-103276,105226,-103276,105226,-3400,5350,-1.27,-1.27,-1.27,-1.27,-5.44,-5.44,-5.44,-5.44,-3.08
-103431,105381,-103431,105381,-103431,105381,-103431,105381,-3420,5370,-1.42,-1.42,-1.42,-1.42,-4.86,-4.86,-4.86,-4.86,-3
-103587,105537,-103587,105537,-103587,105537,-103587,105537,-3430,5380,-2.24,-2.24,-2.24,-2.24,-5.4,-5.4,-5.4,-5.4,-3.13
-103742,105692,-103742,105692,-103742,105692,-103742,105692,-3440,5390,-1.74,-1.74,-1.74,-1.74,-5.36,-5.36,-5.36,-5.36,-2.98
-103898,105848,-103898,105848,-103898,105848,-103898,105848,-3450,5400,-1.95,-1.95,-1.95,-1.95,-5.14,-5.14,-5.14,-5.14,-3.06
-104053,106003,-104053,106003,-104053,106003,-104053,106003,-3460,5410,-2.25,-2.25,-2.25,-2.25,-4.77,-4.77,-4.77,-4.77,-2.65
-104209,106159,-104209,106159,-104209,106159,-104209,106159,-3470,5420,-2.89,-2.89,-2.89,-2.89,-5.7,-5.7,-5.7,-5.7,-2.78
-104365,106315,-104365,106315,-104365,106315,-104365,106315,-3480,5430,-2.75,-2.75,-2.75,-2.75,-5.65,-5.65,-5.65,-5.65,-2.64
-104520,106470,-104520,106470,-104520,106470,-104520,106470,-3530,5480,-1.76,-1.76,-1.76,-1.76,-5.61,-5.61,-5.61,-5.61,-2.85
-104676,106626,-104676,106626,-104676,106626,-104676,106626,-3580,5530,-2.08,-2.08,-2.08,-2.08,-5.15,-5.15,-5.15,-5.15,-2.86
-104831,106781,-104831,106781,-104831,106781,-104831,106781,-3620,5570,-1.43,-1.43,-1.43,-1.43,-4.66,-4.66,-4.66,-4.66,-2.74
-104987,106937,-104987,106937,-104987,106937,-104987,106937,-3670,5620,-1.01,-1.01,-1.01,-1.01,-5.09,-5.09,-5.09,-5.09,-3.11
-105142,107092,-105142,107092,-105142,107092,-105142,107092,-3710,5660,-1.01,-1.01,-1.01,-1.01,-5.16,-5.16,-5.16,-5.16,-2.49
-105298,107248,-105298,107248,-105298,107248,-105298,107248,-3760,5710,-0.7,-0.7,-0.7,-0.7,-4.71,-4.71,-4.71,-4.71,-2.21
-105454,107404,-105454,107404,-105454,107404,-105454,107404,-3810,5760,-1.06,-1.06,-1.06,-1.06,-5.1,-5.1,-5.1,-5.1,-2.82
-105609,107559,-105609,107559,-105609,107559,-105609,107559,-3850,5800,-1.43,-1.43,-1.43,-1.43,-5.7,-5.7,-5.7,-5.7,-2.8
-105765,107715,-105765,107715,-105765,107715,-105765,107715,-3900,5850,-1.6,-1.6,-1.6,-1.6,-5.53,-5.53,-5.53,-5.53,-2.87
-105920,107870,-105920,107870,-105920,107870,-105920,107870,-3940,5890,-0.87,-0.87,-0.87,-0.87,-4.92,-4.92,-4.92,-4.92,-2.45
-106076,108026,-106076,108026,-106076,108026,-106076,108026,-3990,5940,-1.48,-1.48,-1.48,-1.48,-5.4,-5.4,-5.4,-5.4,-2.17
-106232,108182,-106232,108182,-106232,108182,-106232,108182,-4040,5990,-1.96,-1.96,-1.96,-1.96,-5.81,-5.81,-5.81,-5.81,-2.8
-106387,108337,-106387,108337,-106387,108337,-106387,108337,-4080,6030,-1.54,-1.54,-1.54,-1.54,-5.45,-5.45,-5.45,-5.45,-2.78
-106543,108493,-106543,108493,-106543,108493,-106543,108493,-4130,6080,-1.34,-1.34,-1.34,-1.34,-5.32,-5.32,-5.32,-5.32,-2.56
-106698,108648,-106698,108648,-106698,108648,-106698,108648,-4170,6120,-1.5,-1.5,-1.5,-1.5,-5.73,-5.73,-5.73,-5.73,-2.59
-106854,108804,-106854,108804,-106854,108804,-106854,108804,-4220,6170,-1.85,-1.85,-1.85,-1.85,-5.7,-5.7,-5.7,-5.7,-2.46
-107009,108959,-107009,108959,-107009,108959,-107009,108959,-4270,6220,-1.99,-1.99,-1.99,-1.99,-5.33,-5.33,-5.33,-5.33,-2.68
-107165,109115,-107165,109115,-107165,109115,-107165,109115,-4310,6260,-1.69,-1.69,-1.69,-1.69,-5.65,-5.65,-5.65,-5.65,-2.35
-107321,109271,-107321,109271,-107321,109271,-107321,109271,-4360,6310,-2.52,-2.52,-2.52,-2.52,-5.81,-5.81,-5.81,-5.81,-2.85
-107476,109426,-107476,109426,-107476,109426,-107476,109426,-4400,6350,-1.99,-1.99,-1.99,-1.99,-5.75,-5.75,-5.75,-5.75,-2.4
-107632,109582,-107632,109582,-107632,109582,-107632,109582,-4450,6400,-2.03,-2.03,-2.03,-2.03,-5.79,-5.79,-5.79,-5.79,-2.32
-107787,109737,-107787,109737,-107787,109737,-107787,109737,-4500,6450,-1.83,-1.83,-1.83,-1.83,-5.67,-5.67,-5.67,-5.67,-2.45
-107943,109893,-107943,109893,-107943,109893,-107943,109893,-4540,6490,-2.8,-2.8,-2.8,-2.8,-5.32,-5.32,-5.32,-5.32,-2.59
-108099,110049,-108099,110049,-108099,110049,-108099,110049,-4590,6540,-2.34,-2.34,-2.34,-2.34,-5.21,-5.21,-5.21,-5.21,-2.9
-108254,110204,-108254,110204,-108254,110204,-108254,110204,-4630,6580,-2.2,-2.2,-2.2,-2.2,-5.84,-5.84,-5.84,-5.84,-2.34
-108410,110360,-108410,110360,-108410,110360,-108410,110360,-4680,6630,-2.34,-2.34,-2.34,-2.34,-5.44,-5.44,-5.44,-5.44,-2.41
-108565,110515,-108565,110515,-108565,110515,-108565,110515,-4730,6680,-2.49,-2.49,-2.49,-2.49,-5.22,-5.22,-5.22,-5.22,-2.59
-108720,110670,-108720,110670,-108720,110670,-108720,110670,-4770,6720,-2.14,-2.14,-2.14,-2.14,-5.53,-5.53,-5.53,-5.53,-2.62
-108848,110798,-108848,110798,-108848,110798,-108848,110798,-4820,6770,-2.39,-2.39,-2.39,-2.39,-5.34,-5.34,-5.34,-5.34,-2.78
-108975,110925,-108975,110925,-108975,110925,-108975,110925,-4860,6810,-2.92,-2.92,-2.92,-2.92,-5.44,-5.44,-5.44,-5.44,-2.43
-109103,111053,-109103,111053,-109103,111053,-109103,111053,-4910,6860,-3.87,-3.87,-3.87,-3.87,-5.76,-5.76,-5.76,-5.76,-2.28
-109231,111181,-109231,111181,-109231,111181,-109231,111181,-4960,6910,-4.3,-4.3,-4.3,-4.3,-5.28,-5.28,-5.28,-5.28,-2.76
-109358,111308,-109358,111308,-109358,111308,-109358,111308,-5000,6950,-4.51,-4.51,-4.51,-4.51,-5.13,-5.13,-5.13,-5.13,-2.37
-109486,111436,-109486,111436,-109486,111436,-109486,111436,-5050,7000,-3.21,-3.21,-3.21,-3.21,-5.15,-5.15,-5.15,-5.15,-2.48
-109614,111564,-109614,111564,-109614,111564,-109614,111564,-5090,7040,-4.27,-4.27,-4.27,-4.27,-4.92,-4.92,-4.92,-4.92,-2.79
-109741,111691,-109741,111691,-109741,111691,-109741,111691,-5140,7090,-3.32,-3.32,-3.32,-3.32,-4.82,-4.82,-4.82,-4.82,-2.5
-109869,111819,-109869,111819,-109869,111819,-109869,111819,-5190,7140,-4.63,-4.63,-4.63,-4.63,-4.98,-4.98,-4.98,-4.98,-2.87
-109997,111947,-109997,111947,-109997,111947,-109997,111947,-5230,7180,-3.47,-3.47,-3.47,-3.47,-5.66,-5.66,-5.66,-5.66,-2.51
-110125,112075,-110125,112075,-110125,112075,-110125,112075,-5280,7230,-4.18,-4.18,-4.18,-4.18,-5.38,-5.38,-5.38,-5.38,-2.36
-110252,112202,-110252,112202,-110252,112202,-110252,112202,-5320,7270,-3.36,-3.36,-3.36,-3.36,-5.54,-5.54,-5.54,-5.54,-2.64
-110380,112330,-110380,112330,-110380,112330,-110380,112330,-5360,7310,-3.74,-3.74,-3.74,-3.74,-4.93,-4.93,-4.93,-4.93,-2.75
-110508,112458,-110508,112458,-110508,112458,-110508,112458,-5400,7350,-2.47,-2.47,-2.47,-2.47,-5.35,-5.35,-5.35,-5.35,-2.52
-110635,112585,-110635,112585,-110635,112585,-110635,112585,-5430,7380,-3.13,-3.13,-3.13,-3.13,-5.13,-5.13,-5.13,-5.13,-2.35
-110763,112713,-110763,112713,-110763,112713,-110763,112713,-5470,7420,-2.69,-2.69,-2.69,-2.69,-5.2,-5.2,-5.2,-5.2,-2.14
-110891,112841,-110891,112841,-110891,112841,-110891,112841,-5510,7460,-2.94,-2.94,-2.94,-2.94,-4.86,-4.86,-4.86,-4.86,-2.24
-111018,112968,-111018,112968,-111018,112968,-111018,112968,-5550,7500,-2.8,-2.8,-2.8,-2.8,-4.9,-4.9,-4.9,-4.9,-2.8
-111146,113096,-111146,113096,-111146,113096,-111146,113096,-5590,7540,-3.13,-3.13,-3.13,-3.13,-5.25,-5.25,-5.25,-5.25,-2.11
-111274,113224,-111274,113224,-111274,113224,-111274,113224,-5630,7580,-3.28,-3.28,-3.28,-3.28,-5.73,-5.73,-5.73,-5.73,-1.86
-111401,113351,-111401,113351,-111401,113351,-111401,113351,-5800,7750,-3.27,-3.27,-3.27,-3.27,-5.37,-5.37,-5.37,-5.37,-2.16
-111529,113479,-111529,113479,-111529,113479,-111529,113479,-5960,7910,-3.02,-3.02,-3.02,-3.02,-5.75,-5.75,-5.75,-5.75,-2.34
-111657,113607,-111657,113607,-111657,113607,-111657,113607,-6120,8070,-3.53,-3.53,-3.53,-3.53,-5.41,-5.41,-5.41,-5.41,-2.4
-111784,113734,-111784,113734,-111784,113734,-111784,113734,-6290,8240,-3.29,-3.29,-3.29,-3.29,-5.44,-5.44,-5.44,-5.44,-2.39
-111912,113862,-111912,113862,-111912,113862,-111912,113862,-6450,8400,-3.33,-3.33,-3.33,-3.33,-5.88,-5.88,-5.88,-5.88,-2.2
-112040,113990,-112040,113990,-112040,113990,-112040,113990,-6470,8420,-3.09,-3.09,-3.09,-3.09,-6.37,-6.37,-6.37,-6.37,-2.17
-112167,114117,-112167,114117,-112167,114117,-112167,114117,-6490,8440,-3.47,-3.47,-3.47,-3.47,-5.85,-5.85,-5.85,-5.85,-2.6
-112295,114245,-112295,114245,-112295,114245,-112295,114245,-6500,8450,-3.52,-3.52,-3.52,-3.52,-6.11,-6.11,-6.11,-6.11,-1.75
-112423,114373,-112423,114373,-112423,114373,-112423,114373,-6520,8470,-4.08,-4.08,-4.08,-4.08,-5.89,-5.89,-5.89,-5.89,-1.76
-112550,114500,-112550,114500,-112550,114500,-112550,114500,-6540,8490,-4.11,-4.11,-4.11,-4.11,-6.24,-6.24,-6.24,-6.24,-1.84
-112678,114628,-112678,114628,-112678,114628,-112678,114628,-6550,8500,-4.12,-4.12,-4.12,-4.12,-6.43,-6.43,-6.43,-6.43,-1.82
-112806,114756,-112806,114756,-112806,114756,-112806,114756,-6570,8520,-4.17,-4.17,-4.17,-4.17,-6.15,-6.15,-6.15,-6.15,-2.66
-112933,114883,-112933,114883,-112933,114883,-112933,114883,-6590,8540,-3.86,-3.86,-3.86,-3.86,-6.35,-6.35,-6.35,-6.35,-2.34
-113061,115011,-113061,115011,-113061,115011,-113061,115011,-6600,8550,-4.14,-4.14,-4.14,-4.14,-5.88,-5.88,-5.88,-5.88,-2.66
-113189,115139,-113189,115139,-113189,115139,-113189,115139,-6620,8570,-4.18,-4.18,-4.18,-4.18,-6.8,-6.8,-6.8,-6.8,-2.84
-113316,115266,-113316,115266,-113316,115266,-113316,115266,-6640,8590,-3.76,-3.76,-3.76,-3.76,-6.06,-6.06,-6.06,-6.06,-2.72
-113444,115394,-113444,115394,-113444,115394,-113444,115394,-6650,8600,-3.89,-3.89,-3.89,-3.89,-5.44,-5.44,-5.44,-5.44,-2.38
-113572,115522,-113572,115522,-113572,115522,-113572,115522,-6670,8620,-3.98,-3.98,-3.98,-3.98,-5.86,-5.86,-5.86,-5.86,-2.11
-113700,115650,-113700,115650,-113700,115650,-113700,115650,-6690,8640,-4.02,-4.02,-4.02,-4.02,-5.64,-5.64,-5.64,-5.64,-1.9
-113827,115777,-113827,115777,-113827,115777,-113827,115777,-6700,8650,-3.51,-3.51,-3.51,-3.51,-5.75,-5.75,-5.75,-5.75,-1.7
-113955,115905,-113955,115905,-113955,115905,-113955,115905,-6720,8670,-3.73,-3.73,-3.73,-3.73,-5.49,-5.49,-5.49,-5.49,-1.95
-114083,116033,-114083,116033,-114083,116033,-114083,116033,-6730,8680,-3.75,-3.75,-3.75,-3.75,-5.91,-5.91,-5.91,-5.91,-1.92
-114210,116160,-114210,116160,-114210,116160,-114210,116160,-6750,8700,-4.02,-4.02,-4.02,-4.02,-5.88,-5.88,-5.88,-5.88,-1.97
